t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1772195946.801269,0,nan,nan,0,0,0
1772195946.899909,0,nan,nan,0,0,0
1772195947.001553,0,nan,nan,0,0,0
1772195947.101179,0,nan,nan,0,0,0
1772195947.201041,0,nan,nan,0,0,1
1772195947.301394,0,nan,nan,0,0,1
1772195947.401069,0,nan,nan,0,0,1
1772195947.501115,0,nan,nan,0,0,1
1772195947.601156,0,nan,nan,0,0,1
1772195947.701044,0,nan,nan,0,1,1
1772195947.801019,843,208.153096,0.246919,0,1,1
1772195947.901051,883,221.356510,0.250687,0,1,1
1772195948.001006,886,211.609210,0.238837,0,1,0
1772195948.101025,893,207.245958,0.232078,0,0,0
1772195948.201091,909,223.471333,0.245843,0,0,0
1772195948.301236,908,214.732604,0.236490,0,0,0
1772195948.401182,878,214.629417,0.244453,0,0,0
1772195948.499859,899,205.390909,0.228466,0,0,0
1772195948.601103,886,214.655036,0.242274,0,0,0
1772195948.701095,883,209.341232,0.237080,0,0,0
1772195948.801073,903,231.913847,0.256826,0,0,0
1772195948.901105,894,228.548209,0.255647,0,0,0
1772195949.000294,923,234.441630,0.254000,0,0,0
1772195949.100960,925,231.397281,0.250159,0,0,0
1772195949.201069,904,213.291364,0.235942,0,0,0
1772195949.301099,908,222.145628,0.244654,0,0,0
1772195949.401164,908,218.214015,0.240324,0,0,0
1772195949.501098,878,210.714415,0.239994,0,0,0
1772195949.600897,900,209.073817,0.232304,0,0,0
1772195949.700137,908,220.792992,0.243164,0,0,0
1772195949.800116,919,219.306037,0.238636,0,0,0
1772195949.900341,883,220.193817,0.249370,0,0,0
1772195949.999943,923,225.763180,0.244597,0,0,0
1772195950.101171,909,221.429742,0.243597,0,0,0
1772195950.201188,918,233.034279,0.253850,0,0,0
1772195950.301121,926,229.952909,0.248329,0,0,0
1772195950.399926,926,217.632459,0.235024,0,0,0
1772195950.500997,941,218.135158,0.231812,0,0,0
1772195950.601232,918,215.041329,0.234250,0,0,0
1772195950.701051,932,211.029446,0.226426,0,0,0
1772195950.801135,882,202.708179,0.229828,0,0,0
1772195950.901167,901,205.350493,0.227914,0,0,0
1772195951.001253,891,210.352841,0.236086,0,0,0
1772195951.101195,888,204.880152,0.230721,0,0,0
1772195951.201066,916,210.452768,0.229752,0,0,0
1772195951.301343,893,203.707882,0.228116,0,0,0
1772195951.400948,897,199.055434,0.221912,0,0,0
1772195951.501012,770,193.187223,0.250892,0,0,0
1772195951.600975,655,152.538309,0.232883,0,0,0
1772195951.700922,623,145.376749,0.233350,0,0,0
1772195951.801236,649,145.560284,0.224284,0,0,0
1772195951.901120,667,147.253466,0.220770,0,0,0
1772195952.001128,662,145.865030,0.220340,0,0,0
1772195952.100947,659,152.251325,0.231034,0,0,0
1772195952.201027,652,141.763323,0.217428,0,0,0
1772195952.301076,647,144.285901,0.223008,0,0,0
1772195952.401045,671,156.458750,0.233173,0,0,0
1772195952.501145,676,155.063617,0.229384,0,0,0
1772195952.599998,691,168.265706,0.243510,0,0,0
1772195952.701111,688,165.789649,0.240973,0,0,0
1772195952.800981,709,167.635328,0.236439,0,0,0
1772195952.901117,719,168.459573,0.234297,0,0,0
1772195953.000999,696,165.486638,0.237768,0,0,0
1772195953.100971,693,164.641193,0.237577,0,0,0
1772195953.200940,649,157.649689,0.242912,0,0,0
1772195953.300156,667,153.618971,0.230313,0,0,0
1772195953.401155,635,144.720284,0.227906,0,0,0
1772195953.501034,633,131.706698,0.208067,0,0,0
1772195953.600163,694,156.490033,0.225490,0,0,0
1772195953.701114,606,157.820959,0.260431,0,0,0
1772195953.800951,719,180.871121,0.251559,0,0,0
1772195953.900936,752,166.758957,0.221754,0,0,0
1772195954.000082,782,169.504294,0.216757,0,0,0
1772195954.100305,807,173.957935,0.215561,0,0,0
1772195954.200168,794,170.557243,0.214808,0,0,0
1772195954.301258,820,176.373147,0.215089,0,0,0
1772195954.400980,806,176.451701,0.218923,0,0,0
1772195954.501227,772,159.195212,0.206211,0,0,0
1772195954.600918,777,164.664434,0.211923,0,0,0
1772195954.701137,779,170.982910,0.219490,0,0,0
1772195954.801102,792,172.403303,0.217681,0,0,0
1772195954.901111,778,165.878148,0.213211,0,0,0
1772195955.001208,825,191.741849,0.232414,0,0,0
