t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1772198511.717713,0,nan,nan,0,0,0
1772198511.816864,0,nan,nan,0,0,0
1772198511.916862,0,nan,nan,0,0,0
1772198512.016589,0,nan,nan,0,0,0
1772198512.117454,0,nan,nan,0,0,1
1772198512.216745,0,nan,nan,0,0,1
1772198512.317736,0,nan,nan,0,0,1
1772198512.417470,0,nan,nan,0,0,1
1772198512.516691,0,nan,nan,0,0,1
1772198512.617480,0,nan,nan,0,1,1
1772198512.717650,152,15.400541,0.101319,0,1,1
1772198512.816728,150,15.446347,0.102976,0,1,1
1772198512.916699,149,14.626620,0.098165,1,1,1
1772198513.016335,148,12.151052,0.082102,1,1,1
1772198513.116683,144,11.504125,0.079890,1,1,1
1772198513.217473,162,13.760109,0.084939,1,1,1
1772198513.316931,163,17.082845,0.104803,0,1,1
1772198513.416699,160,21.799127,0.136245,0,1,1
1772198513.517515,168,21.252592,0.126504,0,1,1
1772198513.616892,172,24.962984,0.145134,0,1,1
1772198513.716651,173,21.214731,0.122629,0,0,1
1772198513.817513,164,23.630806,0.144090,0,0,1
1772198513.916942,159,21.534443,0.135437,0,0,1
1772198514.017463,171,23.175868,0.135531,0,0,1
1772198514.116513,176,28.351995,0.161091,0,0,1
1772198514.217612,188,34.283150,0.182357,0,0,1
1772198514.316687,186,38.744230,0.208302,0,0,0
1772198514.417477,204,40.857020,0.200280,0,0,0
1772198514.517441,214,40.018101,0.187000,0,0,0
1772198514.616943,228,55.528759,0.243547,0,0,0
1772198514.716470,236,56.895125,0.241081,0,0,0
1772198514.817471,243,58.148941,0.239296,0,0,0
1772198514.916724,255,60.769062,0.238310,0,0,0
1772198515.017570,258,59.882175,0.232101,0,0,0
1772198515.116703,272,63.832951,0.234680,0,0,0
1772198515.217622,236,55.877889,0.236771,0,0,0
1772198515.317679,245,56.917888,0.232318,0,0,0
1772198515.417463,195,41.170663,0.211132,0,0,0
1772198515.516768,157,26.764957,0.170477,0,0,0
1772198515.616683,150,22.428424,0.149523,0,0,0
1772198515.716846,166,34.947279,0.210526,0,0,0
1772198515.816644,192,42.171628,0.219644,0,0,0
1772198515.917577,227,46.931491,0.206747,0,0,0
1772198516.016497,232,50.060366,0.215777,0,0,0
1772198516.117417,235,48.702466,0.207245,0,0,0
1772198516.217415,254,58.724898,0.231200,0,0,0
1772198516.316933,268,65.243904,0.243447,0,0,0
1772198516.416698,263,65.517084,0.249114,0,0,0
1772198516.517470,249,52.267157,0.209908,0,0,0
1772198516.617600,248,47.412194,0.191178,0,0,0
1772198516.717594,255,65.384591,0.256410,0,0,0
1772198516.816651,267,66.284225,0.248256,0,0,0
1772198516.916916,269,67.199471,0.249812,0,0,0
1772198517.016868,272,63.088154,0.231942,0,0,0
1772198517.116580,262,63.333487,0.241731,0,0,0
1772198517.216732,267,61.424395,0.230054,0,0,0
1772198517.316673,277,67.416967,0.243383,0,0,0
1772198517.417464,281,70.449631,0.250710,0,0,0
1772198517.516507,278,65.946559,0.237218,0,0,0
1772198517.616638,282,74.002248,0.262419,0,0,0
1772198517.717448,282,69.497348,0.246444,0,0,0
1772198517.816710,278,70.620167,0.254029,0,0,0
1772198517.916654,301,72.875505,0.242111,0,0,0
1772198518.016643,262,61.922435,0.236345,0,0,0
1772198518.116735,279,68.485722,0.245469,0,0,0
1772198518.216618,281,69.186048,0.246214,0,0,0
1772198518.316625,267,66.471885,0.248958,0,0,0
1772198518.416754,247,65.053236,0.263373,0,0,0
1772198518.516775,233,59.065930,0.253502,0,0,0
1772198518.617402,198,42.859544,0.216462,0,0,0
1772198518.716773,209,49.030146,0.234594,0,0,0
1772198518.817721,224,56.272892,0.251218,0,0,0
1772198518.917407,232,58.666613,0.252873,0,0,0
1772198519.016916,216,53.531519,0.247831,0,0,0
1772198519.116600,210,50.695991,0.241409,0,0,0
1772198519.217601,212,50.540430,0.238398,0,0,0
1772198519.316808,213,50.820252,0.238593,0,0,0
1772198519.416622,202,51.155926,0.253247,0,0,0
1772198519.517491,214,51.402677,0.240199,0,0,0
1772198519.616793,223,55.112015,0.247139,0,0,0
1772198519.717625,212,46.326658,0.218522,0,0,0
1772198519.817653,214,51.498356,0.240647,0,0,0
1772198519.916986,210,46.337325,0.220654,0,0,0
1772198520.016869,204,48.246185,0.236501,0,0,0
1772198520.117498,227,59.878560,0.263782,0,0,0
1772198520.217479,231,60.278284,0.260945,0,0,0
1772198520.316728,264,68.307926,0.258742,0,0,0
1772198520.417530,273,70.669209,0.258862,0,0,0
1772198520.516783,266,59.713063,0.224485,0,0,0
1772198520.617542,270,63.866398,0.236542,0,0,0
1772198520.717497,273,64.694478,0.236976,0,0,0
1772198520.816763,276,67.651154,0.245113,0,0,0
1772198520.916666,273,68.775097,0.251923,0,0,0
