t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1772198511.616672,0,nan,nan,0,0,0
1772198511.717713,0,nan,nan,0,0,0
1772198511.816864,0,nan,nan,0,0,0
1772198511.916862,0,nan,nan,0,0,0
1772198512.016589,0,nan,nan,0,0,1
1772198512.117454,0,nan,nan,0,0,1
1772198512.216745,0,nan,nan,0,0,1
1772198512.317736,0,nan,nan,0,0,1
1772198512.417470,0,nan,nan,0,0,1
1772198512.516691,0,nan,nan,0,1,1
1772198512.617480,556,80.109912,0.144083,0,1,1
1772198512.717650,558,63.969052,0.114640,0,1,1
1772198512.816728,566,75.836830,0.133987,0,1,1
1772198512.916699,546,71.710172,0.131337,0,1,1
1772198513.016335,511,55.846382,0.109288,0,1,1
1772198513.116683,518,62.412787,0.120488,0,0,1
1772198513.217473,521,66.075144,0.126824,0,0,1
1772198513.316931,505,60.037644,0.118886,0,0,1
1772198513.416699,514,65.647973,0.127720,0,0,1
1772198513.517515,531,66.220850,0.124710,0,0,1
1772198513.616892,535,80.751910,0.150938,0,0,1
1772198513.716651,526,73.720751,0.140154,0,0,1
1772198513.817513,550,78.796828,0.143267,0,0,1
1772198513.916942,524,71.740998,0.136910,0,0,1
1772198514.017463,532,77.964837,0.146550,0,0,1
1772198514.116513,550,87.239166,0.158617,0,0,1
1772198514.217612,578,106.336052,0.183972,0,0,1
1772198514.316687,577,107.798324,0.186826,0,0,0
1772198514.417477,662,147.186572,0.222336,0,0,0
1772198514.517441,647,131.876789,0.203828,0,0,0
1772198514.616943,672,156.162634,0.232385,0,0,0
1772198514.716470,662,153.500971,0.231875,0,0,0
1772198514.817471,691,162.652275,0.235387,0,0,0
1772198514.916724,739,163.458711,0.221189,0,0,0
1772198515.017570,728,153.173282,0.210403,0,0,0
1772198515.116703,732,163.525168,0.223395,0,0,0
1772198515.217622,682,138.517392,0.203105,0,0,0
1772198515.317679,659,116.146666,0.176247,0,0,0
1772198515.417463,530,95.324879,0.179858,0,0,0
1772198515.516768,448,75.401379,0.168307,0,0,0
1772198515.616683,423,80.006594,0.189141,0,0,0
1772198515.716846,443,85.053567,0.191995,0,0,0
1772198515.816644,504,103.339156,0.205038,0,0,0
1772198515.917577,593,102.999455,0.173692,0,0,0
1772198516.016497,607,106.397231,0.175284,0,0,0
1772198516.117417,634,120.567586,0.190170,0,0,0
1772198516.217415,646,136.197122,0.210831,0,0,0
1772198516.316933,673,135.043920,0.200660,0,0,0
1772198516.416698,660,150.577478,0.228148,0,0,0
1772198516.517470,655,134.798375,0.205799,0,0,0
1772198516.617600,670,148.880112,0.222209,0,0,0
1772198516.717594,653,149.264014,0.228582,0,0,0
1772198516.816651,714,158.296512,0.221704,0,0,0
1772198516.916916,671,151.640590,0.225992,0,0,0
1772198517.016868,717,149.651499,0.208719,0,0,0
1772198517.116580,733,170.586461,0.232724,0,0,0
1772198517.216732,751,153.992277,0.205050,0,0,0
1772198517.316673,748,161.085633,0.215355,0,0,0
1772198517.417464,765,170.569910,0.222967,0,0,0
1772198517.516507,760,165.477729,0.217734,0,0,0
1772198517.616638,747,167.411551,0.224112,0,0,0
1772198517.717448,734,154.994767,0.211165,0,0,0
1772198517.816710,753,169.257873,0.224778,0,0,0
1772198517.916654,779,172.189315,0.221039,0,0,0
1772198518.016643,738,159.973936,0.216767,0,0,0
1772198518.116735,734,169.268731,0.230611,0,0,0
1772198518.216618,732,169.465381,0.231510,0,0,0
1772198518.316625,689,168.165450,0.244072,0,0,0
1772198518.416754,684,162.880426,0.238129,0,0,0
1772198518.516775,613,123.830891,0.202008,0,0,0
1772198518.617402,587,122.159807,0.208109,0,0,0
1772198518.716773,580,109.719375,0.189171,0,0,0
1772198518.817721,616,134.046987,0.217609,0,0,0
1772198518.917407,613,125.943676,0.205455,0,0,0
1772198519.016916,603,128.999821,0.213930,0,0,0
1772198519.116600,605,133.719788,0.221024,0,0,0
1772198519.217601,607,126.926414,0.209104,0,0,0
1772198519.316808,596,131.914148,0.221332,0,0,0
1772198519.416622,595,133.093991,0.223687,0,0,0
1772198519.517491,599,114.971527,0.191939,0,0,0
1772198519.616793,593,121.384387,0.204695,0,0,0
1772198519.717625,594,122.901884,0.206906,0,0,0
1772198519.817653,599,119.124128,0.198872,0,0,0
1772198519.916986,619,117.779792,0.190274,0,0,0
1772198520.016869,581,120.952775,0.208180,0,0,0
1772198520.117498,620,143.302090,0.231132,0,0,0
1772198520.217479,637,145.820506,0.228918,0,0,0
1772198520.316728,702,168.658196,0.240254,0,0,0
1772198520.417530,710,169.535854,0.238783,0,0,0
1772198520.516783,696,149.956167,0.215454,0,0,0
1772198520.617542,681,156.111985,0.229239,0,0,0
1772198520.717497,735,172.470685,0.234654,0,0,0
1772198520.816763,724,165.227019,0.228214,0,0,0
1772198520.916666,705,157.488643,0.223388,0,0,0
1772198521.017775,704,171.391106,0.243453,0,0,0
1772198521.117537,692,163.544875,0.236337,0,0,0
1772198521.216638,701,170.065878,0.242605,0,0,0
1772198521.317474,674,166.147983,0.246510,0,0,0
1772198521.416856,685,161.589953,0.235898,0,0,0
1772198521.516599,701,158.896662,0.226671,0,0,0
1772198521.617701,727,173.526083,0.238688,0,0,0
1772198521.717562,735,169.852342,0.231092,0,0,0
1772198521.816653,769,181.388642,0.235876,0,0,0
1772198521.916590,726,172.592834,0.237731,0,0,0
1772198522.016649,687,162.110814,0.235969,0,0,0
1772198522.117554,590,116.003266,0.196616,0,0,0
1772198522.216580,408,44.184966,0.108296,0,0,0
1772198522.316681,634,136.886093,0.215909,0,0,0
1772198522.416642,803,177.995359,0.221663,0,0,0
1772198522.517430,803,173.955883,0.216632,0,0,0
1772198522.616676,799,175.442737,0.219578,0,0,0
