t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1772209009.293135,0,nan,nan,0,0,0
1772209009.393413,0,nan,nan,0,0,0
1772209009.493271,0,nan,nan,0,0,0
1772209009.593358,0,nan,nan,0,0,0
1772209009.692319,0,nan,nan,0,0,1
1772209009.793319,0,nan,nan,0,0,1
1772209009.893509,0,nan,nan,0,0,1
1772209009.993268,0,nan,nan,0,0,1
1772209010.093481,0,nan,nan,0,0,1
1772209010.193283,0,nan,nan,0,1,1
1772209010.293358,616,148.878459,0.241686,0,1,1
1772209010.393194,643,149.845822,0.233042,0,1,1
1772209010.493503,622,153.782918,0.247239,0,1,0
1772209010.593443,646,150.184458,0.232484,0,0,0
1772209010.693599,637,155.012405,0.243348,0,0,0
1772209010.793446,624,142.792544,0.228834,0,0,0
1772209010.893248,628,152.741350,0.243219,0,0,0
1772209010.993205,631,154.769601,0.245277,0,0,0
1772209011.093274,640,154.356424,0.241182,0,0,0
1772209011.193228,641,162.547775,0.253585,0,0,0
1772209011.293475,606,155.677150,0.256893,0,0,0
1772209011.393289,593,152.218614,0.256692,0,0,0
1772209011.493421,601,142.695605,0.237430,0,0,0
1772209011.593314,574,140.563696,0.244884,0,0,0
1772209011.693203,588,144.880980,0.246396,0,0,0
1772209011.793802,591,145.049344,0.245430,0,0,0
1772209011.893422,585,142.938856,0.244340,0,0,0
1772209011.993106,571,139.415240,0.244160,0,0,0
1772209012.092360,611,159.218212,0.260586,0,0,0
1772209012.193495,573,140.861726,0.245832,0,0,0
1772209012.292571,578,136.296682,0.235807,0,0,0
1772209012.393322,547,133.383719,0.243846,0,0,0
1772209012.493384,561,136.764603,0.243787,0,0,0
1772209012.593530,559,133.692655,0.239164,0,0,0
1772209012.692506,576,130.528358,0.226612,0,0,0
1772209012.793518,587,147.637506,0.251512,0,0,0
1772209012.893221,598,141.428453,0.236502,0,0,0
1772209012.993321,585,131.334254,0.224503,0,0,0
1772209013.093199,602,143.894080,0.239027,0,0,0
1772209013.193356,599,141.859042,0.236826,0,0,0
1772209013.293313,585,142.629910,0.243812,0,0,0
1772209013.393324,611,142.271603,0.232850,0,0,0
1772209013.493206,575,141.657408,0.246361,0,0,0
