t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1772209009.193208,0,nan,nan,0,0,0
1772209009.293135,0,nan,nan,0,0,0
1772209009.393413,0,nan,nan,0,0,0
1772209009.493271,0,nan,nan,0,0,0
1772209009.593358,0,nan,nan,0,0,1
1772209009.692319,0,nan,nan,0,0,1
1772209009.793319,0,nan,nan,0,0,1
1772209009.893509,0,nan,nan,0,0,1
1772209009.993268,0,nan,nan,0,0,1
1772209010.093481,0,nan,nan,0,1,1
1772209010.193283,858,210.110792,0.244884,0,1,1
1772209010.293358,859,216.810601,0.252399,0,1,1
1772209010.393194,888,219.538599,0.247228,0,1,0
1772209010.493503,869,223.053099,0.256678,0,0,0
1772209010.593443,894,217.938240,0.243779,0,0,0
1772209010.693599,843,207.100256,0.245671,0,0,0
1772209010.793446,854,204.848911,0.239870,0,0,0
1772209010.893248,852,197.853293,0.232222,0,0,0
1772209010.993205,852,208.915959,0.245207,0,0,0
1772209011.093274,843,200.442583,0.237773,0,0,0
1772209011.193228,854,204.967316,0.240009,0,0,0
1772209011.293475,818,208.888049,0.255364,0,0,0
1772209011.393289,794,201.156767,0.253346,0,0,0
1772209011.493421,779,195.561445,0.251042,0,0,0
1772209011.593314,754,186.036899,0.246733,0,0,0
1772209011.693203,779,191.780218,0.246188,0,0,0
1772209011.793802,764,194.054604,0.253998,0,0,0
1772209011.893422,773,186.368924,0.241098,0,0,0
1772209011.993106,761,185.018029,0.243125,0,0,0
1772209012.092360,804,204.031051,0.253770,0,0,0
1772209012.193495,781,200.865383,0.257190,0,0,0
1772209012.292571,754,190.734536,0.252964,0,0,0
1772209012.393322,723,177.741237,0.245839,0,0,0
1772209012.493384,755,190.446438,0.252247,0,0,0
1772209012.593530,756,180.441240,0.238679,0,0,0
1772209012.692506,770,177.719829,0.230805,0,0,0
1772209012.793518,769,189.603451,0.246558,0,0,0
1772209012.893221,781,190.042543,0.243332,0,0,0
1772209012.993321,783,179.703664,0.229507,0,0,0
1772209013.093199,802,201.971575,0.251835,0,0,0
1772209013.193356,803,196.192390,0.244324,0,0,0
1772209013.293313,793,192.536976,0.242796,0,0,0
1772209013.393324,797,191.832933,0.240694,0,0,0
1772209013.493206,771,189.485947,0.245766,0,0,0
1772209013.593569,792,192.423384,0.242959,0,0,0
1772209013.693114,789,191.571628,0.242803,0,0,0
1772209013.792387,790,190.719019,0.241416,0,0,0
1772209013.893319,746,193.840546,0.259840,0,0,0
1772209013.993318,755,193.336442,0.256075,0,0,0
1772209014.093175,761,189.640952,0.249200,0,0,0
1772209014.192274,778,193.068919,0.248161,0,0,0
1772209014.293309,786,201.247840,0.256041,0,0,0
1772209014.395583,777,195.271979,0.251315,0,0,0
1772209014.493302,771,176.612424,0.229069,0,0,0
1772209014.593460,764,182.828860,0.239305,0,0,0
1772209014.693228,776,193.460420,0.249305,0,0,0
1772209014.793302,747,188.849673,0.252811,0,0,0
1772209014.893539,735,181.258502,0.246610,0,0,0
1772209014.993240,760,201.345165,0.264928,0,0,0
1772209015.093286,784,199.846154,0.254906,0,0,0
1772209015.193425,789,211.416341,0.267955,0,0,0
1772209015.293322,772,205.843344,0.266636,0,0,0
1772209015.393389,796,199.356692,0.250448,0,0,0
