t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1768842033.871419,0,nan,nan,0,0,0
1768842033.971553,0,nan,nan,0,0,0
1768842034.070327,0,nan,nan,0,0,0
1768842034.170232,0,nan,nan,0,0,0
1768842034.271647,0,nan,nan,0,0,1
1768842034.371522,0,nan,nan,0,0,1
1768842034.470593,0,nan,nan,0,0,1
1768842034.570960,0,nan,nan,0,0,1
1768842034.672899,0,nan,nan,0,0,1
1768842034.770706,0,nan,nan,0,1,1
1768842034.870548,1994,502.649420,0.252081,0,1,1
1768842034.971737,2006,515.963653,0.257210,0,1,1
1768842035.071549,2021,522.910011,0.258738,0,1,0
1768842035.171592,2063,521.083193,0.252585,0,0,0
1768842035.271490,1977,519.816730,0.262932,0,0,0
1768842035.371215,2054,539.709799,0.262760,0,0,0
1768842035.470880,2011,520.005490,0.258581,0,0,0
1768842035.570189,2034,525.897468,0.258553,0,0,0
1768842035.671656,1959,518.157349,0.264501,0,0,0
1768842035.771658,1959,516.758682,0.263787,0,0,0
1768842035.871994,1946,513.685500,0.263970,0,0,0
1768842035.970723,1952,511.700315,0.262142,0,0,0
1768842036.070827,2008,519.960020,0.258944,0,0,0
1768842036.171104,1963,512.241145,0.260948,0,0,0
1768842036.271557,2065,539.964539,0.261484,0,0,0
1768842036.370434,2003,535.600606,0.267399,0,0,0
1768842036.470664,1982,541.447849,0.273183,0,0,0
1768842036.571464,1945,521.849115,0.268303,0,0,0
1768842036.671942,1986,540.686471,0.272249,0,0,0
1768842036.770163,1994,539.931503,0.270778,0,0,0
1768842036.872075,1965,524.424338,0.266883,0,0,0
1768842036.967615,2013,538.681736,0.267601,0,0,0
1768842037.070735,1961,539.452309,0.275090,0,0,0
1768842037.171410,1986,538.359269,0.271077,0,0,0
1768842037.271587,1959,539.008748,0.275145,0,0,0
1768842037.371646,1969,534.138305,0.271274,0,0,0
1768842037.471543,1949,521.868417,0.267762,0,0,0
1768842037.571493,1926,526.653994,0.273444,0,0,0
1768842037.670166,1971,535.337146,0.271607,0,0,0
1768842037.772300,2005,538.227526,0.268443,0,0,0
1768842037.871489,2016,542.940111,0.269316,0,0,0
1768842037.971756,1922,521.533704,0.271349,0,0,0
1768842038.070671,1994,536.717322,0.269166,0,0,0
1768842038.170323,1915,516.464325,0.269694,0,0,0
