t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1768842033.971553,0,nan,nan,0,0,0
1768842034.070327,0,nan,nan,0,0,0
1768842034.170232,0,nan,nan,0,0,0
1768842034.271647,0,nan,nan,0,0,0
1768842034.371522,0,nan,nan,0,0,1
1768842034.470593,0,nan,nan,0,0,1
1768842034.570960,0,nan,nan,0,0,1
1768842034.672899,0,nan,nan,0,0,1
1768842034.770706,0,nan,nan,0,0,1
1768842034.870548,0,nan,nan,0,1,1
1768842034.971737,2000,513.033098,0.256517,0,1,1
1768842035.071549,2034,526.654234,0.258925,0,1,1
1768842035.171592,2061,518.364385,0.251511,0,1,0
1768842035.271490,2081,532.918212,0.256088,0,0,0
1768842035.371215,2057,542.913943,0.263935,0,0,0
1768842035.470880,2070,534.273116,0.258103,0,0,0
1768842035.570189,2062,527.237353,0.255692,0,0,0
1768842035.671656,2038,531.722770,0.260904,0,0,0
1768842035.771658,1995,519.617673,0.260460,0,0,0
1768842035.871994,1993,518.195322,0.260008,0,0,0
1768842035.970723,1980,514.641017,0.259920,0,0,0
1768842036.070827,2031,521.805473,0.256920,0,0,0
1768842036.171104,2009,518.829776,0.258253,0,0,0
1768842036.271557,2119,551.362868,0.260200,0,0,0
1768842036.370434,2036,541.624808,0.266024,0,0,0
1768842036.470664,2010,540.477159,0.268894,0,0,0
1768842036.571464,2023,536.749233,0.265323,0,0,0
1768842036.671942,2009,541.320317,0.269448,0,0,0
1768842036.770163,2036,549.587940,0.269935,0,0,0
1768842036.872075,1990,529.397933,0.266029,0,0,0
1768842036.967615,2035,543.947355,0.267296,0,0,0
1768842037.070735,1988,541.481567,0.272375,0,0,0
1768842037.171410,2028,543.514998,0.268005,0,0,0
1768842037.271587,1996,536.624080,0.268850,0,0,0
1768842037.371646,2018,541.672287,0.268420,0,0,0
1768842037.471543,1971,523.105755,0.265401,0,0,0
1768842037.571493,1967,526.341282,0.267586,0,0,0
1768842037.670166,2002,538.178692,0.268821,0,0,0
1768842037.772300,2045,541.642875,0.264862,0,0,0
1768842037.871489,2044,540.161237,0.264267,0,0,0
1768842037.971756,1988,531.275705,0.267241,0,0,0
1768842038.070671,2026,544.477084,0.268745,0,0,0
1768842038.170323,1975,530.344326,0.268529,0,0,0
1768842038.271772,2003,533.004194,0.266103,0,0,0
1768842038.370480,1888,502.579133,0.266197,0,0,0
1768842038.470895,2034,552.734174,0.271747,0,0,0
1768842038.571600,1966,525.396736,0.267241,0,0,0
1768842038.670178,1995,525.397711,0.263357,0,0,0
1768842038.770467,1976,522.352247,0.264348,0,0,0
1768842038.871497,2061,535.975355,0.260056,0,0,0
1768842038.971488,2021,539.917974,0.267154,0,0,0
1768842039.072129,1958,520.507566,0.265836,0,0,0
1768842039.170154,2015,556.678919,0.276267,0,0,0
1768842039.270105,2000,524.177783,0.262089,0,0,0
1768842039.371520,1991,540.942768,0.271694,0,0,0
1768842039.472640,2010,535.822688,0.266578,0,0,0
1768842039.571480,1994,544.428954,0.273034,0,0,0
1768842039.670421,2056,545.808164,0.265471,0,0,0
1768842039.771591,2090,574.566481,0.274912,0,0,0
1768842039.870437,2047,544.573717,0.266035,0,0,0
1768842039.971203,2119,559.227739,0.263911,0,0,0
1768842040.071535,2069,542.262098,0.262089,0,0,0
1768842040.171563,2118,552.570377,0.260893,0,0,0
1768842040.271428,2179,571.161643,0.262121,0,0,0
1768842040.371410,2163,561.442890,0.259567,0,0,0
1768842040.471444,2209,580.110565,0.262612,0,0,0
1768842040.571513,2208,578.403499,0.261958,0,0,0
1768842040.671451,2179,574.197733,0.263514,0,0,0
1768842040.770368,2204,586.956929,0.266314,0,0,0
1768842040.871513,2162,555.904025,0.257125,0,0,0
1768842040.971103,2184,578.384248,0.264828,0,0,0
1768842041.071413,2180,574.862346,0.263698,0,0,0
1768842041.170706,2171,570.089005,0.262593,0,0,0
1768842041.271626,2217,586.563522,0.264575,0,0,0
1768842041.373081,2186,583.803541,0.267065,0,0,0
1768842041.471578,2200,578.280505,0.262855,0,0,0
1768842041.571851,2208,584.626449,0.264776,0,0,0
1768842041.672739,2180,574.456413,0.263512,0,0,0
1768842041.771399,2138,572.216974,0.267641,0,0,0
1768842041.871424,2191,578.655492,0.264106,0,0,0
1768842041.971575,2161,564.940234,0.261425,0,0,0
1768842042.071517,2162,567.683568,0.262573,0,0,0
1768842042.171527,2135,562.250987,0.263349,0,0,0
1768842042.271482,2103,553.874401,0.263373,0,0,0
1768842042.371423,2159,563.743444,0.261113,0,0,0
1768842042.471555,2105,562.052756,0.267008,0,0,0
1768842042.570703,2088,553.077243,0.264884,0,0,0
1768842042.671536,2098,569.968447,0.271672,0,0,0
1768842042.770577,2173,562.943752,0.259063,0,0,0
1768842042.871619,2153,572.951729,0.266118,0,0,0
1768842042.970222,2185,569.332955,0.260564,0,0,0
1768842043.070296,2161,590.702653,0.273347,0,0,0
1768842043.170513,2093,548.995018,0.262301,0,0,0
1768842043.269564,2174,589.244077,0.271041,0,0,0
1768842043.371396,2096,570.781933,0.272320,0,0,0
1768842043.471390,2064,556.451033,0.269598,0,0,0
1768842043.570772,2068,526.773538,0.254726,0,0,0
1768842043.672884,2131,556.003966,0.260912,0,0,0
1768842043.771378,2135,551.348197,0.258243,0,0,0
1768842043.871430,2163,566.637032,0.261968,0,0,0
1768842043.971562,2175,582.924592,0.268011,0,0,0
