t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1768827179.655833,0,nan,nan,0,0,0
1768827179.755277,0,nan,nan,0,0,0
1768827179.855976,0,nan,nan,0,0,0
1768827179.955051,0,nan,nan,0,0,0
1768827180.054936,0,nan,nan,0,0,1
1768827180.155918,0,nan,nan,0,0,1
1768827180.254699,0,nan,nan,0,0,1
1768827180.355221,0,nan,nan,0,0,1
1768827180.454470,0,nan,nan,0,0,1
1768827180.554340,0,nan,nan,0,1,1
1768827180.654942,1218,304.458690,0.249966,0,1,1
1768827180.756060,1245,316.278022,0.254039,0,1,1
1768827180.855965,1190,292.073811,0.245440,0,1,0
1768827180.955905,1143,281.279100,0.246088,0,0,0
1768827181.055847,1159,280.472964,0.241996,0,0,0
1768827181.157009,1214,306.128360,0.252165,0,0,0
1768827181.254488,1195,301.684062,0.252455,0,0,0
1768827181.354709,1267,329.342177,0.259939,0,0,0
1768827181.454731,1185,314.202217,0.265150,0,0,0
1768827181.554768,1285,319.591028,0.248709,0,0,0
1768827181.654459,1302,338.042295,0.259633,0,0,0
1768827181.754998,1321,333.551660,0.252499,0,0,0
1768827181.856832,1295,329.689233,0.254586,0,0,0
1768827181.956751,1235,310.616137,0.251511,0,0,0
1768827182.054592,1259,305.580520,0.242717,0,0,0
1768827182.155829,1267,321.020723,0.253371,0,0,0
1768827182.254608,1276,311.762928,0.244328,0,0,0
1768827182.354593,1255,317.250268,0.252789,0,0,0
1768827182.456451,1279,313.301952,0.244959,0,0,0
1768827182.555350,1246,317.421813,0.254753,0,0,0
1768827182.654908,1273,313.577917,0.246330,0,0,0
1768827182.754528,1258,318.655668,0.253303,0,0,0
1768827182.855059,1320,322.695095,0.244466,0,0,0
1768827182.954956,1282,328.509696,0.256248,0,0,0
1768827183.054424,1290,312.785639,0.242469,0,0,0
1768827183.156018,1288,330.128792,0.256311,0,0,0
1768827183.255959,1189,283.532844,0.238463,0,0,0
1768827183.354496,1339,338.655830,0.252917,0,0,0
1768827183.455146,1240,297.105875,0.239602,0,0,0
1768827183.555307,1297,327.582546,0.252569,0,0,0
1768827183.654922,1234,301.863791,0.244622,0,0,0
1768827183.754652,1317,336.552698,0.255545,0,0,0
1768827183.856890,1343,338.537173,0.252075,0,0,0
1768827183.955363,1350,342.497425,0.253702,0,0,0
1768827184.055151,1342,341.028124,0.254119,0,0,0
1768827184.154881,1293,328.888958,0.254361,0,0,0
1768827184.254664,1343,333.640331,0.248429,0,0,0
1768827184.354436,1317,316.449792,0.240281,0,0,0
1768827184.453962,1285,305.067114,0.237406,0,0,0
1768827184.555216,1280,319.026503,0.249239,0,0,0
1768827184.655282,1282,339.479290,0.264804,0,0,0
1768827184.754910,1261,315.425121,0.250139,0,0,0
1768827184.854327,1232,327.796074,0.266068,0,0,0
1768827184.954905,1210,303.159799,0.250545,0,0,0
1768827185.054411,1266,333.031287,0.263058,0,0,0
