t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1768827179.755277,0,nan,nan,0,0,0
1768827179.855976,0,nan,nan,0,0,0
1768827179.955051,0,nan,nan,0,0,0
1768827180.054936,0,nan,nan,0,0,0
1768827180.155918,0,nan,nan,0,0,1
1768827180.254699,0,nan,nan,0,0,1
1768827180.355221,0,nan,nan,0,0,1
1768827180.454470,0,nan,nan,0,0,1
1768827180.554340,0,nan,nan,0,0,1
1768827180.654942,0,nan,nan,0,1,1
1768827180.756060,1701,397.703751,0.233806,0,1,1
1768827180.855965,1680,383.573827,0.228318,0,1,1
1768827180.955905,1642,371.542922,0.226275,0,1,0
1768827181.055847,1633,367.842436,0.225256,0,0,0
1768827181.157009,1679,403.079900,0.240071,0,0,0
1768827181.254488,1619,387.230409,0.239179,0,0,0
1768827181.354709,1735,429.613168,0.247616,0,0,0
1768827181.454731,1618,404.507479,0.250005,0,0,0
1768827181.554768,1700,430.478646,0.253223,0,0,0
1768827181.654459,1778,453.159356,0.254870,0,0,0
1768827181.754998,1780,443.260179,0.249023,0,0,0
1768827181.856832,1767,434.477664,0.245884,0,0,0
1768827181.956751,1698,424.855465,0.250209,0,0,0
1768827182.054592,1720,420.362901,0.244397,0,0,0
1768827182.155829,1725,429.545351,0.249012,0,0,0
1768827182.254608,1773,436.851501,0.246391,0,0,0
1768827182.354593,1711,410.045924,0.239653,0,0,0
1768827182.456451,1782,437.817581,0.245689,0,0,0
1768827182.555350,1705,405.575149,0.237874,0,0,0
1768827182.654908,1762,425.501861,0.241488,0,0,0
1768827182.754528,1722,418.432747,0.242992,0,0,0
1768827182.855059,1782,447.711066,0.251241,0,0,0
1768827182.954956,1750,428.691864,0.244967,0,0,0
1768827183.054424,1786,455.465991,0.255020,0,0,0
1768827183.156018,1778,445.890064,0.250782,0,0,0
1768827183.255959,1641,387.205511,0.235957,0,0,0
1768827183.354496,1800,458.059612,0.254478,0,0,0
1768827183.455146,1705,393.374087,0.230718,0,0,0
1768827183.555307,1725,425.746019,0.246809,0,0,0
1768827183.654922,1685,404.650668,0.240149,0,0,0
1768827183.754652,1776,443.129783,0.249510,0,0,0
1768827183.856890,1821,435.468059,0.239137,0,0,0
1768827183.955363,1845,459.090700,0.248830,0,0,0
1768827184.055151,1862,452.992650,0.243283,0,0,0
1768827184.154881,1785,443.546497,0.248485,0,0,0
1768827184.254664,1847,453.737907,0.245662,0,0,0
1768827184.354436,1809,442.979114,0.244875,0,0,0
1768827184.453962,1738,438.790157,0.252468,0,0,0
1768827184.555216,1752,443.901122,0.253368,0,0,0
1768827184.655282,1731,422.372173,0.244005,0,0,0
1768827184.754910,1745,425.337155,0.243746,0,0,0
1768827184.854327,1688,421.409568,0.249650,0,0,0
1768827184.954905,1677,399.884229,0.238452,0,0,0
1768827185.054411,1699,416.066565,0.244889,0,0,0
1768827185.154603,1678,400.087306,0.238431,0,0,0
1768827185.254421,1613,402.720568,0.249672,0,0,0
1768827185.354490,1667,421.441536,0.252814,0,0,0
1768827185.454676,1670,413.798826,0.247784,0,0,0
1768827185.556012,1708,443.704013,0.259780,0,0,0
1768827185.654590,1675,430.073664,0.256760,0,0,0
1768827185.754431,1681,429.290854,0.255378,0,0,0
1768827185.854990,1664,408.149775,0.245282,0,0,0
1768827185.955040,1594,403.125334,0.252902,0,0,0
1768827186.055942,1658,403.014737,0.243073,0,0,0
1768827186.154859,1693,416.176731,0.245822,0,0,0
1768827186.254843,1658,410.688225,0.247701,0,0,0
1768827186.354867,1756,434.968819,0.247704,0,0,0
1768827186.454474,1723,430.306626,0.249743,0,0,0
1768827186.554726,1779,455.279721,0.255919,0,0,0
1768827186.654896,1733,446.715932,0.257770,0,0,0
1768827186.754838,1680,437.281142,0.260286,0,0,0
1768827186.854504,1742,450.267269,0.258477,0,0,0
1768827186.954494,1799,447.098167,0.248526,0,0,0
1768827187.054520,1776,448.568670,0.252572,0,0,0
1768827187.154900,1692,423.832194,0.250492,0,0,0
