t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1768827179.655833,0,nan,nan,0,0,0
1768827179.755277,0,nan,nan,0,0,0
1768827179.855976,0,nan,nan,0,0,0
1768827179.955051,0,nan,nan,0,0,0
1768827180.054936,0,nan,nan,0,0,1
1768827180.155918,0,nan,nan,0,0,1
1768827180.254699,0,nan,nan,0,0,1
1768827180.355221,0,nan,nan,0,0,1
1768827180.454470,0,nan,nan,0,0,1
1768827180.554340,0,nan,nan,0,1,1
1768827180.654942,1717,393.684977,0.229287,0,1,1
1768827180.756060,1728,392.734859,0.227277,0,1,1
1768827180.855965,1682,377.870271,0.224655,0,1,0
1768827180.955905,1645,360.575603,0.219195,0,0,0
1768827181.055847,1630,365.599798,0.224294,0,0,0
1768827181.157009,1725,396.527422,0.229871,0,0,0
1768827181.254488,1676,387.533982,0.231226,0,0,0
1768827181.354709,1790,430.413952,0.240455,0,0,0
1768827181.454731,1701,406.255525,0.238833,0,0,0
1768827181.554768,1749,426.631639,0.243929,0,0,0
1768827181.654459,1824,447.425354,0.245299,0,0,0
1768827181.754998,1827,436.353299,0.238836,0,0,0
1768827181.856832,1807,424.332021,0.234827,0,0,0
1768827181.956751,1755,421.816758,0.240351,0,0,0
1768827182.054592,1760,424.025226,0.240923,0,0,0
1768827182.155829,1774,428.589212,0.241595,0,0,0
1768827182.254608,1821,433.344920,0.237971,0,0,0
1768827182.354593,1756,406.475803,0.231478,0,0,0
1768827182.456451,1825,434.025089,0.237822,0,0,0
1768827182.555350,1756,408.160167,0.232437,0,0,0
1768827182.654908,1800,418.346112,0.232415,0,0,0
1768827182.754528,1773,416.716308,0.235035,0,0,0
1768827182.855059,1841,440.376219,0.239205,0,0,0
1768827182.954956,1806,427.408515,0.236660,0,0,0
1768827183.054424,1840,448.367577,0.243678,0,0,0
1768827183.156018,1826,443.990139,0.243149,0,0,0
1768827183.255959,1732,397.181606,0.229320,0,0,0
1768827183.354496,1844,450.008706,0.244039,0,0,0
1768827183.455146,1780,400.962644,0.225260,0,0,0
1768827183.555307,1762,421.262141,0.239082,0,0,0
1768827183.654922,1751,404.882080,0.231229,0,0,0
1768827183.754652,1811,433.942404,0.239615,0,0,0
1768827183.856890,1867,432.621180,0.231720,0,0,0
1768827183.955363,1886,450.999344,0.239130,0,0,0
1768827184.055151,1910,452.458238,0.236889,0,0,0
1768827184.154881,1853,432.419987,0.233362,0,0,0
1768827184.254664,1887,446.151591,0.236434,0,0,0
1768827184.354436,1858,439.021642,0.236287,0,0,0
1768827184.453962,1802,438.003427,0.243065,0,0,0
1768827184.555216,1808,443.393849,0.245240,0,0,0
1768827184.655282,1765,415.645758,0.235493,0,0,0
1768827184.754910,1783,418.896133,0.234939,0,0,0
1768827184.854327,1748,412.726416,0.236114,0,0,0
1768827184.954905,1751,399.385663,0.228090,0,0,0
1768827185.054411,1731,404.788584,0.233847,0,0,0
