t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1768848251.294154,0,nan,nan,0,0,0
1768848251.394390,0,nan,nan,0,0,0
1768848251.494351,0,nan,nan,0,0,0
1768848251.594171,0,nan,nan,0,0,0
1768848251.694999,0,nan,nan,0,0,1
1768848251.793977,0,nan,nan,0,0,1
1768848251.893831,0,nan,nan,0,0,1
1768848251.994164,0,nan,nan,0,0,1
1768848252.094095,0,nan,nan,0,0,1
1768848252.193944,0,nan,nan,0,1,1
1768848252.293989,1975,510.994670,0.258731,0,1,1
1768848252.393504,1993,519.919115,0.260873,0,1,1
1768848252.494379,1988,519.468865,0.261302,0,1,0
1768848252.595087,1917,493.725610,0.257551,0,0,0
1768848252.693221,1897,465.157114,0.245207,0,0,0
1768848252.794325,1911,481.278177,0.251846,0,0,0
1768848252.894196,1941,479.317169,0.246943,0,0,0
1768848252.993934,1874,469.269794,0.250411,0,0,0
1768848253.094191,1873,456.943133,0.243963,0,0,0
1768848253.193928,1898,472.076724,0.248723,0,0,0
1768848253.294312,1938,471.866463,0.243481,0,0,0
1768848253.394376,1961,488.393146,0.249053,0,0,0
1768848253.494187,1948,516.055600,0.264916,0,0,0
1768848253.594316,1956,492.456000,0.251767,0,0,0
1768848253.694286,1888,502.596171,0.266206,0,0,0
1768848253.793826,1896,473.382367,0.249674,0,0,0
1768848253.893844,1814,459.403330,0.253254,0,0,0
1768848253.994351,1795,435.623360,0.242687,0,0,0
1768848254.094270,1814,463.484939,0.255504,0,0,0
1768848254.193988,1834,453.955615,0.247522,0,0,0
1768848254.296135,1787,469.477249,0.262718,0,0,0
1768848254.394232,1808,473.033378,0.261634,0,0,0
1768848254.494198,1769,460.249001,0.260175,0,0,0
1768848254.593284,1869,505.138016,0.270272,0,0,0
1768848254.693957,1869,486.332451,0.260210,0,0,0
1768848254.793909,1844,494.902660,0.268385,0,0,0
1768848254.894194,1894,497.634194,0.262742,0,0,0
1768848254.995990,1864,501.665332,0.269134,0,0,0
1768848255.094226,1924,492.450058,0.255951,0,0,0
1768848255.194277,1866,510.178886,0.273408,0,0,0
1768848255.296451,1940,525.795454,0.271029,0,0,0
1768848255.394263,1837,508.109830,0.276598,0,0,0
1768848255.493863,1973,534.781663,0.271050,0,0,0
1768848255.594241,1863,509.428527,0.273445,0,0,0
1768848255.694300,1851,489.000990,0.264182,0,0,0
1768848255.794388,1863,486.168804,0.260960,0,0,0
1768848255.894047,1858,485.852653,0.261492,0,0,0
1768848255.994412,1797,465.273335,0.258917,0,0,0
1768848256.094424,1879,478.570206,0.254694,0,0,0
1768848256.194094,1869,473.987617,0.253605,0,0,0
1768848256.292386,1808,457.317871,0.252941,0,0,0
1768848256.394305,1828,478.370424,0.261691,0,0,0
1768848256.494340,1726,452.487884,0.262160,0,0,0
1768848256.594385,1828,469.932242,0.257075,0,0,0
1768848256.693918,1784,479.530916,0.268795,0,0,0
1768848256.794547,1915,494.999985,0.258486,0,0,0
1768848256.897238,1854,490.365739,0.264491,0,0,0
1768848256.993935,1875,464.881096,0.247937,0,0,0
1768848257.094275,1834,471.600949,0.257143,0,0,0
1768848257.193202,1853,472.711125,0.255106,0,0,0
1768848257.293321,1868,489.159722,0.261863,0,0,0
1768848257.395408,1847,478.601492,0.259124,0,0,0
1768848257.493933,1867,492.711811,0.263906,0,0,0
1768848257.593758,1842,482.199150,0.261780,0,0,0
1768848257.694145,1811,479.869088,0.264975,0,0,0
1768848257.794336,1793,469.784851,0.262011,0,0,0
1768848257.894065,1832,485.633407,0.265084,0,0,0
1768848257.997887,1789,471.906682,0.263782,0,0,0
1768848258.095167,1821,475.038041,0.260867,0,0,0
1768848258.194441,1785,473.281537,0.265144,0,0,0
1768848258.294324,1902,496.480059,0.261031,0,0,0
1768848258.393764,1845,494.234572,0.267878,0,0,0
1768848258.494542,1858,483.163795,0.260045,0,0,0
1768848258.594049,1884,486.526601,0.258241,0,0,0
1768848258.694395,1823,481.610730,0.264186,0,0,0
1768848258.793678,1863,477.194309,0.256143,0,0,0
1768848258.894311,1782,467.965449,0.262607,0,0,0
1768848258.996177,1792,465.431121,0.259727,0,0,0
1768848259.094204,1808,475.277217,0.262875,0,0,0
1768848259.194454,1796,472.453725,0.263059,0,0,0
1768848259.294038,1831,487.549084,0.266275,0,0,0
1768848259.394306,1807,491.315457,0.271896,0,0,0
1768848259.496080,1875,475.504380,0.253602,0,0,0
1768848259.594424,1904,496.851290,0.260951,0,0,0
1768848259.694483,1917,493.082746,0.257216,0,0,0
1768848259.793287,1888,497.096074,0.263292,0,0,0
1768848259.894544,1987,519.930433,0.261666,0,0,0
1768848259.994029,1967,545.213306,0.277180,0,0,0
1768848260.094074,1989,525.603388,0.264255,0,0,0
1768848260.195838,1946,536.866299,0.275882,0,0,0
1768848260.294470,1957,526.412383,0.268989,0,0,0
1768848260.394086,1974,540.712813,0.273917,0,0,0
1768848260.494881,1993,520.550151,0.261189,0,0,0
1768848260.595651,1910,516.746175,0.270548,0,0,0
1768848260.694807,1971,521.878750,0.264779,0,0,0
1768848260.795677,1965,537.893869,0.273737,0,0,0
1768848260.894092,1906,513.320086,0.269318,0,0,0
1768848260.995299,2032,553.078236,0.272184,0,0,0
1768848261.094538,1961,521.680851,0.266028,0,0,0
1768848261.193267,2032,548.399544,0.269882,0,0,0
1768848261.294452,1914,515.079263,0.269111,0,0,0
1768848261.393362,2033,542.136645,0.266668,0,0,0
1768848261.494155,1968,516.860399,0.262632,0,0,0
1768848261.594752,1964,508.795139,0.259061,0,0,0
1768848261.694156,1984,534.903129,0.269608,0,0,0
1768848261.794382,2062,557.948263,0.270586,0,0,0
1768848261.894080,2014,544.346285,0.270281,0,0,0
1768848261.993747,2051,549.023305,0.267686,0,0,0
1768848262.094524,2053,561.323797,0.273416,0,0,0
1768848262.195652,2070,561.734244,0.271369,0,0,0
1768848262.295081,2036,557.295036,0.273721,0,0,0
1768848262.393387,2042,555.365773,0.271971,0,0,0
1768848262.493645,2015,541.309287,0.268640,0,0,0
1768848262.594448,1963,533.912470,0.271988,0,0,0
1768848262.693219,2039,548.127244,0.268822,0,0,0
1768848262.794417,1973,540.246478,0.273820,0,0,0
1768848262.894087,2037,539.342702,0.264773,0,0,0
1768848262.993620,1943,517.025895,0.266097,0,0,0
1768848263.093745,2061,547.528042,0.265661,0,0,0
1768848263.193881,1895,489.423543,0.258271,0,0,0
1768848263.294593,2018,511.548505,0.253493,0,0,0
1768848263.393410,2045,531.787007,0.260043,0,0,0
1768848263.494351,2044,526.955880,0.257806,0,0,0
1768848263.593821,2105,553.731068,0.263055,0,0,0
1768848263.696605,2027,530.381346,0.261658,0,0,0
1768848263.795043,2046,517.264546,0.252817,0,0,0
1768848263.894544,1959,510.837094,0.260764,0,0,0
1768848263.994244,1909,491.988659,0.257721,0,0,0
1768848264.091597,1996,523.762758,0.262406,0,0,0
1768848264.193630,2090,534.354174,0.255672,0,0,0
1768848264.294375,1922,495.683416,0.257900,0,0,0
1768848264.393431,2154,560.785276,0.260346,0,0,0
1768848264.494521,2018,521.561594,0.258455,0,0,0
1768848264.594492,2141,564.307231,0.263572,0,0,0
1768848264.694620,2028,533.510243,0.263072,0,0,0
1768848264.794896,2133,552.798936,0.259165,0,0,0
1768848264.894502,2012,532.655307,0.264739,0,0,0
1768848264.994657,2061,531.027850,0.257655,0,0,0
1768848265.094171,2112,548.526901,0.259719,0,0,0
1768848265.195430,2063,552.692876,0.267907,0,0,0
1768848265.296535,2066,549.447543,0.265948,0,0,0
1768848265.393622,2055,561.297997,0.273138,0,0,0
1768848265.494171,2058,548.249120,0.266399,0,0,0
1768848265.593306,2013,547.095619,0.271781,0,0,0
1768848265.693317,2007,525.994983,0.262080,0,0,0
