t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1768848251.294154,0,nan,nan,0,0,0
1768848251.394390,0,nan,nan,0,0,0
1768848251.494351,0,nan,nan,0,0,0
1768848251.594171,0,nan,nan,0,0,0
1768848251.694999,0,nan,nan,0,0,1
1768848251.793977,0,nan,nan,0,0,1
1768848251.893831,0,nan,nan,0,0,1
1768848251.994164,0,nan,nan,0,0,1
1768848252.094095,0,nan,nan,0,0,1
1768848252.193944,0,nan,nan,0,1,1
1768848252.293989,1971,509.235892,0.258364,0,1,1
1768848252.393504,1992,517.624948,0.259852,0,1,1
1768848252.494379,1985,518.767325,0.261344,0,1,0
1768848252.595087,1937,497.823070,0.257007,0,0,0
1768848252.693221,1956,479.254733,0.245018,0,0,0
1768848252.794325,1942,491.960257,0.253327,0,0,0
1768848252.894196,1969,497.716764,0.252776,0,0,0
1768848252.993934,1914,485.852639,0.253842,0,0,0
1768848253.094191,1923,469.090599,0.243937,0,0,0
1768848253.193928,1916,479.463210,0.250242,0,0,0
1768848253.294312,1974,482.443767,0.244399,0,0,0
1768848253.394376,2009,509.359943,0.253539,0,0,0
1768848253.494187,1991,534.803258,0.268610,0,0,0
1768848253.594316,1985,510.165891,0.257011,0,0,0
1768848253.694286,1940,527.449552,0.271881,0,0,0
1768848253.793826,1955,494.025352,0.252698,0,0,0
1768848253.893844,1856,471.861270,0.254236,0,0,0
1768848253.994351,1867,457.531132,0.245062,0,0,0
1768848254.094270,1850,481.546321,0.260295,0,0,0
1768848254.193988,1875,471.713016,0.251580,0,0,0
1768848254.296135,1822,482.864942,0.265019,0,0,0
1768848254.394232,1833,482.038728,0.262978,0,0,0
1768848254.494198,1826,481.179582,0.263516,0,0,0
1768848254.593284,1890,508.008879,0.268788,0,0,0
1768848254.693957,1913,492.000115,0.257188,0,0,0
1768848254.793909,1877,500.782446,0.266799,0,0,0
1768848254.894194,1935,504.599832,0.260775,0,0,0
1768848254.995990,1906,513.368753,0.269344,0,0,0
1768848255.094226,1956,498.669308,0.254943,0,0,0
1768848255.194277,1911,520.342969,0.272288,0,0,0
1768848255.296451,1978,530.222916,0.268060,0,0,0
1768848255.394263,1924,526.339860,0.273565,0,0,0
1768848255.493863,2002,543.131763,0.271295,0,0,0
1768848255.594241,1894,522.535373,0.275890,0,0,0
1768848255.694300,1883,491.331169,0.260930,0,0,0
1768848255.794388,1902,491.530724,0.258428,0,0,0
1768848255.894047,1891,489.557315,0.258888,0,0,0
1768848255.994412,1859,473.018574,0.254448,0,0,0
1768848256.094424,1901,476.460614,0.250637,0,0,0
1768848256.194094,1903,479.605307,0.252026,0,0,0
1768848256.292386,1846,461.844068,0.250186,0,0,0
1768848256.394305,1865,484.508316,0.259790,0,0,0
1768848256.494340,1778,464.305368,0.261139,0,0,0
1768848256.594385,1845,471.897181,0.255771,0,0,0
1768848256.693918,1826,486.668515,0.266522,0,0,0
1768848256.794547,1950,500.829738,0.256836,0,0,0
1768848256.897238,1891,494.025558,0.261251,0,0,0
1768848256.993935,1911,475.356341,0.248747,0,0,0
1768848257.094275,1882,479.734758,0.254907,0,0,0
1768848257.193202,1893,481.631501,0.254428,0,0,0
1768848257.293321,1905,491.829327,0.258178,0,0,0
1768848257.395408,1881,483.799763,0.257203,0,0,0
1768848257.493933,1903,501.062275,0.263301,0,0,0
1768848257.593758,1860,482.176413,0.259235,0,0,0
1768848257.694145,1876,494.748387,0.263725,0,0,0
1768848257.794336,1817,473.023392,0.260332,0,0,0
1768848257.894065,1847,489.506022,0.265028,0,0,0
1768848257.997887,1818,473.921492,0.260683,0,0,0
1768848258.095167,1862,485.532897,0.260759,0,0,0
1768848258.194441,1832,480.956028,0.262531,0,0,0
1768848258.294324,1923,506.711287,0.263500,0,0,0
1768848258.393764,1887,506.384166,0.268354,0,0,0
1768848258.494542,1897,496.000076,0.261466,0,0,0
1768848258.594049,1910,493.786591,0.258527,0,0,0
1768848258.694395,1873,490.692091,0.261982,0,0,0
1768848258.793678,1901,485.386635,0.255332,0,0,0
1768848258.894311,1814,472.598325,0.260528,0,0,0
1768848258.996177,1833,471.272415,0.257104,0,0,0
1768848259.094204,1838,480.582946,0.261471,0,0,0
1768848259.194454,1834,478.643909,0.260984,0,0,0
1768848259.294038,1864,493.460270,0.264732,0,0,0
1768848259.394306,1861,499.995064,0.268670,0,0,0
1768848259.496080,1914,483.579032,0.252654,0,0,0
1768848259.594424,1940,502.412172,0.258975,0,0,0
1768848259.694483,1958,498.130962,0.254408,0,0,0
1768848259.793287,1925,506.084735,0.262901,0,0,0
1768848259.894544,2013,529.230908,0.262907,0,0,0
1768848259.994029,1988,549.053894,0.276184,0,0,0
1768848260.094074,2030,534.912012,0.263503,0,0,0
1768848260.195838,1979,541.861462,0.273806,0,0,0
1768848260.294470,2009,544.877086,0.271218,0,0,0
1768848260.394086,1998,547.738579,0.274143,0,0,0
1768848260.494881,2045,538.323675,0.263239,0,0,0
1768848260.595651,1967,531.010338,0.269960,0,0,0
1768848260.694807,2015,538.042171,0.267018,0,0,0
1768848260.795677,1994,545.987010,0.273815,0,0,0
1768848260.894092,1978,537.668317,0.271824,0,0,0
1768848260.995299,2067,557.231677,0.269585,0,0,0
1768848261.094538,2026,539.729488,0.266402,0,0,0
1768848261.193267,2056,554.957316,0.269921,0,0,0
1768848261.294452,1963,530.727229,0.270365,0,0,0
1768848261.393362,2070,559.834196,0.270451,0,0,0
1768848261.494155,2001,524.386095,0.262062,0,0,0
1768848261.594752,2017,521.049220,0.258329,0,0,0
1768848261.694156,2013,540.430704,0.268470,0,0,0
1768848261.794382,2111,575.952095,0.272834,0,0,0
1768848261.894080,2063,564.097279,0.273435,0,0,0
1768848261.993747,2098,558.768739,0.266334,0,0,0
1768848262.094524,2090,570.853811,0.273136,0,0,0
1768848262.195652,2125,574.991354,0.270584,0,0,0
1768848262.295081,2095,584.621744,0.279056,0,0,0
1768848262.393387,2096,574.369901,0.274031,0,0,0
1768848262.493645,2083,567.039801,0.272223,0,0,0
1768848262.594448,2023,544.598240,0.269203,0,0,0
1768848262.693219,2089,568.088817,0.271943,0,0,0
1768848262.794417,2047,555.757603,0.271499,0,0,0
1768848262.894087,2100,560.913970,0.267102,0,0,0
1768848262.993620,2020,539.770531,0.267213,0,0,0
1768848263.093745,2115,563.004467,0.266196,0,0,0
1768848263.193881,1959,504.545125,0.257552,0,0,0
1768848263.294593,2076,522.958318,0.251907,0,0,0
1768848263.393410,2100,545.982838,0.259992,0,0,0
1768848263.494351,2122,558.568008,0.263227,0,0,0
1768848263.593821,2152,567.506810,0.263711,0,0,0
1768848263.696605,2124,564.258346,0.265658,0,0,0
1768848263.795043,2140,548.909744,0.256500,0,0,0
1768848263.894544,2049,537.465837,0.262306,0,0,0
1768848263.994244,2022,526.830086,0.260549,0,0,0
1768848264.091597,2088,555.284050,0.265941,0,0,0
1768848264.193630,2174,546.413076,0.251340,0,0,0
1768848264.294375,2000,526.239766,0.263120,0,0,0
1768848264.393431,2206,575.468353,0.260865,0,0,0
1768848264.494521,2143,555.787467,0.259350,0,0,0
1768848264.594492,2227,582.528266,0.261575,0,0,0
1768848264.694620,2110,561.152039,0.265949,0,0,0
1768848264.794896,2207,570.050759,0.258292,0,0,0
1768848264.894502,2104,563.372744,0.267763,0,0,0
1768848264.994657,2147,551.024339,0.256649,0,0,0
1768848265.094171,2188,560.946194,0.256374,0,0,0
1768848265.195430,2174,579.021877,0.266339,0,0,0
1768848265.296535,2197,588.904101,0.268049,0,0,0
1768848265.393622,2151,581.688046,0.270427,0,0,0
1768848265.494171,2148,565.579268,0.263305,0,0,0
1768848265.593306,2105,567.182611,0.269445,0,0,0
1768848265.693317,2152,553.312905,0.257116,0,0,0
