t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1770800920.485102,0,nan,nan,0,0,0
1770800920.581801,0,nan,nan,0,0,0
1770800920.685751,0,nan,nan,0,0,0
1770800920.785635,0,nan,nan,0,0,0
1770800920.885994,0,nan,nan,0,0,1
1770800920.986861,0,nan,nan,0,0,1
1770800921.086972,0,nan,nan,0,0,1
1770800921.185904,0,nan,nan,0,0,1
1770800921.285885,0,nan,nan,0,0,1
1770800921.385592,0,nan,nan,0,1,1
1770800921.486093,1008,207.561592,0.205914,0,1,1
1770800921.585651,1012,221.057827,0.218437,0,1,1
1770800921.685648,1016,213.641516,0.210277,0,1,0
1770800921.785214,1012,215.487158,0.212932,0,0,0
1770800921.885754,991,208.039382,0.209929,0,0,0
1770800921.985596,996,217.132632,0.218005,0,0,0
1770800922.085186,991,207.217068,0.209099,0,0,0
1770800922.185915,993,214.533067,0.216045,0,0,0
1770800922.286777,967,200.732790,0.207583,0,0,0
1770800922.385707,986,209.531042,0.212506,0,0,0
1770800922.486037,991,217.174121,0.219146,0,0,0
1770800922.585320,969,214.419856,0.221280,0,0,0
1770800922.685668,986,210.771955,0.213765,0,0,0
1770800922.786075,1001,212.652965,0.212441,0,0,0
1770800922.886489,996,212.524120,0.213378,0,0,0
1770800922.986302,976,200.907243,0.205848,0,0,0
1770800923.085771,992,213.297800,0.215018,0,0,0
1770800923.185853,990,206.689705,0.208777,0,0,0
1770800923.285898,965,207.251092,0.214768,0,0,0
1770800923.385720,980,210.443503,0.214738,0,0,0
1770800923.485739,977,214.765857,0.219822,0,0,0
1770800923.585546,968,203.015970,0.209727,0,0,0
1770800923.685739,981,210.629585,0.214709,0,0,0
1770800923.786752,962,193.692802,0.201344,0,0,0
1770800923.885038,995,214.836322,0.215916,0,0,0
1770800923.986127,987,213.328708,0.216139,0,0,0
1770800924.085181,985,202.720419,0.205808,0,0,0
1770800924.185508,985,203.712246,0.206814,0,0,0
1770800924.285727,973,191.664226,0.196983,0,0,0
1770800924.385586,963,209.107916,0.217142,0,0,0
1770800924.484782,960,207.741002,0.216397,0,0,0
1770800924.585163,986,207.173284,0.210115,0,0,0
1770800924.686025,947,196.100387,0.207075,0,0,0
1770800924.785946,974,207.436905,0.212974,0,0,0
1770800924.888879,957,199.036814,0.207980,0,0,0
1770800924.985704,965,207.733466,0.215268,0,0,0
1770800925.085574,954,202.780153,0.212558,0,0,0
1770800925.185150,965,202.396101,0.209737,0,0,0
1770800925.286510,979,207.744382,0.212201,0,0,0
1770800925.385849,949,193.210830,0.203594,0,0,0
1770800925.485271,960,206.676770,0.215288,0,0,0
1770800925.585744,966,207.243160,0.214537,0,0,0
1770800925.685349,922,205.362311,0.222736,0,0,0
1770800925.785974,943,209.459597,0.222120,0,0,0
1770800925.886811,956,205.259216,0.214706,0,0,0
1770800925.987039,947,198.726888,0.209849,0,0,0
1770800926.086464,979,215.952970,0.220585,0,0,0
1770800926.185789,953,202.128150,0.212097,0,0,0
1770800926.286704,968,199.888710,0.206497,0,0,0
1770800926.385714,937,203.719822,0.217417,0,0,0
1770800926.487082,975,211.993611,0.217429,0,0,0
1770800926.585433,963,208.938741,0.216967,0,0,0
1770800926.685390,973,208.189011,0.213966,0,0,0
1770800926.786504,965,213.423102,0.221164,0,0,0
1770800926.886913,944,193.699150,0.205190,0,0,0
1770800926.985235,940,210.805003,0.224261,0,0,0
1770800927.085126,937,187.716963,0.200338,0,0,0
1770800927.186913,949,208.877777,0.220103,0,0,0
1770800927.285839,919,199.132926,0.216684,0,0,0
1770800927.386484,912,195.817813,0.214713,0,0,0
1770800927.485233,939,207.432613,0.220908,0,0,0
1770800927.585436,944,211.521115,0.224069,0,0,0
1770800927.685897,962,209.318376,0.217587,0,0,0
1770800927.785591,918,201.964182,0.220005,0,0,0
1770800927.887499,954,214.518432,0.224862,0,0,0
1770800927.986117,962,203.483413,0.211521,0,0,0
1770800928.086992,941,207.442447,0.220449,0,0,0
1770800928.185829,919,204.047849,0.222032,0,0,0
1770800928.285216,937,212.138808,0.226402,0,0,0
1770800928.385932,937,199.030554,0.212413,0,0,0
1770800928.485639,936,210.261927,0.224639,0,0,0
1770800928.585726,897,186.015087,0.207375,0,0,0
1770800928.684720,959,212.955346,0.222060,0,0,0
1770800928.785708,914,190.966210,0.208935,0,0,0
1770800928.884802,961,207.404094,0.215821,0,0,0
1770800928.984988,951,215.688613,0.226802,0,0,0
1770800929.085664,946,204.783167,0.216473,0,0,0
1770800929.185679,962,204.505448,0.212584,0,0,0
1770800929.285352,946,199.165165,0.210534,0,0,0
1770800929.382901,986,225.041881,0.228237,0,0,0
1770800929.485657,930,207.006523,0.222588,0,0,0
1770800929.584978,907,192.126765,0.211827,0,0,0
1770800929.685412,899,187.236270,0.208272,0,0,0
1770800929.785616,892,180.945013,0.202853,0,0,0
1770800929.885520,890,179.056783,0.201187,0,0,0
