t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1770798620.967638,0,nan,nan,0,0,0
1770798621.066557,0,nan,nan,0,0,0
1770798621.166371,0,nan,nan,0,0,0
1770798621.266823,0,nan,nan,0,0,0
1770798621.366279,0,nan,nan,0,0,1
1770798621.467469,0,nan,nan,0,0,1
1770798621.567499,0,nan,nan,0,0,1
1770798621.666919,0,nan,nan,0,0,1
1770798621.766987,0,nan,nan,0,0,1
1770798621.866726,0,nan,nan,0,1,1
1770798621.967629,984,208.229422,0.211615,0,1,1
1770798622.067200,1007,230.201661,0.228601,0,1,1
1770798622.167670,976,216.516923,0.221841,0,1,0
1770798622.266298,1008,228.370602,0.226558,0,0,0
1770798622.367651,984,212.104752,0.215554,0,0,0
1770798622.467212,982,226.207082,0.230353,0,0,0
1770798622.567185,976,216.060845,0.221374,0,0,0
1770798622.667622,987,217.879521,0.220749,0,0,0
1770798622.767996,992,210.369090,0.212066,0,0,0
1770798622.867099,1007,221.897266,0.220355,0,0,0
1770798622.970629,992,207.350690,0.209023,0,0,0
1770798623.068373,1003,218.354377,0.217701,0,0,0
1770798623.167552,966,211.843695,0.219300,0,0,0
1770798623.267085,1012,215.981405,0.213420,0,0,0
1770798623.367288,981,215.592528,0.219768,0,0,0
1770798623.467175,997,212.441372,0.213081,0,0,0
1770798623.567517,977,212.320519,0.217319,0,0,0
1770798623.667539,973,207.544119,0.213303,0,0,0
1770798623.767566,955,200.155028,0.209586,0,0,0
1770798623.867717,985,215.997944,0.219287,0,0,0
1770798623.967479,972,225.152477,0.231638,0,0,0
1770798624.067204,984,216.616129,0.220138,0,0,0
1770798624.168335,990,221.739117,0.223979,0,0,0
1770798624.267569,980,212.090612,0.216419,0,0,0
1770798624.367472,999,218.957903,0.219177,0,0,0
1770798624.467584,967,207.731510,0.214821,0,0,0
1770798624.566459,993,213.486159,0.214991,0,0,0
1770798624.668478,1007,213.377235,0.211894,0,0,0
1770798624.767486,996,215.175572,0.216040,0,0,0
1770798624.869725,994,214.575345,0.215871,0,0,0
1770798624.967036,986,216.593639,0.219669,0,0,0
1770798625.067224,985,210.440374,0.213645,0,0,0
1770798625.167727,987,206.890112,0.209615,0,0,0
1770798625.267472,978,208.765373,0.213462,0,0,0
1770798625.369657,1012,223.075144,0.220430,0,0,0
1770798625.466657,1000,215.429134,0.215429,0,0,0
1770798625.567716,992,211.009254,0.212711,0,0,0
1770798625.668654,1007,216.268613,0.214765,0,0,0
1770798625.767529,1010,215.996212,0.213858,0,0,0
1770798625.867338,990,217.806633,0.220007,0,0,0
1770798625.967521,992,216.869517,0.218618,0,0,0
1770798626.067466,967,197.073312,0.203799,0,0,0
1770798626.166540,986,222.037735,0.225190,0,0,0
1770798626.269658,993,199.165542,0.200570,0,0,0
1770798626.366222,987,217.591705,0.220458,0,0,0
1770798626.466585,995,204.722759,0.205752,0,0,0
1770798626.566056,995,215.133478,0.216215,0,0,0
1770798626.667183,984,207.849892,0.211230,0,0,0
1770798626.766686,1010,219.069504,0.216900,0,0,0
1770798626.867169,1011,225.281769,0.222831,0,0,0
1770798626.967638,988,198.748476,0.201162,0,0,0
1770798627.067160,1000,222.241270,0.222241,0,0,0
1770798627.167171,958,202.751093,0.211640,0,0,0
1770798627.267061,1005,221.993902,0.220889,0,0,0
1770798627.367274,998,212.681349,0.213108,0,0,0
1770798627.467134,979,225.345201,0.230179,0,0,0
1770798627.567522,968,209.732210,0.216666,0,0,0
1770798627.667022,985,210.392803,0.213597,0,0,0
1770798627.767489,995,211.117317,0.212178,0,0,0
1770798627.867023,993,215.179403,0.216696,0,0,0
1770798627.968668,992,205.666214,0.207325,0,0,0
1770798628.062287,1000,224.213028,0.224213,0,0,0
1770798628.165518,992,208.027900,0.209706,0,0,0
1770798628.267644,976,210.151014,0.215319,0,0,0
1770798628.367510,982,216.432057,0.220399,0,0,0
1770798628.467040,997,208.788320,0.209417,0,0,0
1770798628.567359,970,202.468608,0.208731,0,0,0
1770798628.667253,973,205.767544,0.211477,0,0,0
1770798628.766938,982,212.071683,0.215959,0,0,0
1770798628.867379,978,203.616554,0.208197,0,0,0
1770798628.967527,984,219.235872,0.222801,0,0,0
1770798629.067116,968,215.077349,0.222187,0,0,0
1770798629.166991,974,211.489215,0.217135,0,0,0
1770798629.267021,983,208.911328,0.212524,0,0,0
1770798629.367523,990,219.045115,0.221258,0,0,0
1770798629.467537,1006,218.003595,0.216703,0,0,0
1770798629.567140,1004,217.706182,0.216839,0,0,0
1770798629.667144,1005,221.719150,0.220616,0,0,0
1770798629.767479,990,220.422382,0.222649,0,0,0
1770798629.867419,998,218.833102,0.219272,0,0,0
1770798629.967701,997,216.022496,0.216673,0,0,0
1770798630.067142,999,218.294919,0.218513,0,0,0
1770798630.167562,959,197.622674,0.206072,0,0,0
1770798630.268665,1002,214.404147,0.213976,0,0,0
1770798630.367508,1001,219.858961,0.219639,0,0,0
1770798630.468699,986,211.831889,0.214840,0,0,0
1770798630.566367,998,211.011299,0.211434,0,0,0
1770798630.667843,1001,216.161735,0.215946,0,0,0
1770798630.767084,1001,221.693577,0.221472,0,0,0
1770798630.866390,989,214.224676,0.216607,0,0,0
1770798630.967742,999,224.273032,0.224498,0,0,0
1770798631.065645,994,211.502409,0.212779,0,0,0
1770798631.166625,988,224.963246,0.227696,0,0,0
1770798631.266792,978,197.670687,0.202117,0,0,0
1770798631.366517,978,217.757314,0.222656,0,0,0
1770798631.466372,975,203.374828,0.208590,0,0,0
1770798631.566384,990,212.064856,0.214207,0,0,0
1770798631.667251,984,205.439301,0.208780,0,0,0
1770798631.767210,999,218.318770,0.218537,0,0,0
1770798631.867023,1000,218.444305,0.218444,0,0,0
1770798631.966533,992,203.460401,0.205101,0,0,0
1770798632.067219,990,220.473558,0.222701,0,0,0
1770798632.167032,978,202.580648,0.207138,0,0,0
1770798632.267561,993,219.550518,0.221098,0,0,0
1770798632.367518,984,211.978878,0.215426,0,0,0
1770798632.467537,983,226.725414,0.230646,0,0,0
1770798632.567043,966,213.324313,0.220833,0,0,0
1770798632.666866,1001,219.329580,0.219110,0,0,0
1770798632.767137,995,219.568154,0.220672,0,0,0
1770798632.866977,998,215.256715,0.215688,0,0,0
1770798632.967196,998,208.558366,0.208976,0,0,0
