t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1770830042.782262,0,nan,nan,0,0,0
1770830042.881756,0,nan,nan,0,0,0
1770830042.981813,0,nan,nan,0,0,0
1770830043.081918,0,nan,nan,0,0,0
1770830043.181806,0,nan,nan,0,0,1
1770830043.281721,0,nan,nan,0,0,1
1770830043.381768,0,nan,nan,0,0,1
1770830043.483027,0,nan,nan,0,0,1
1770830043.582611,0,nan,nan,0,0,1
1770830043.681720,0,nan,nan,0,1,1
1770830043.782278,570,137.093292,0.240515,0,1,1
1770830043.881291,578,149.798171,0.259166,0,1,1
1770830043.982441,577,141.675993,0.245539,0,1,0
1770830044.081752,562,139.338083,0.247933,0,0,0
1770830044.181773,573,146.950756,0.256459,0,0,0
1770830044.281808,557,132.406179,0.237713,0,0,0
1770830044.382286,564,145.010481,0.257111,0,0,0
1770830044.483016,588,149.186148,0.253718,0,0,0
1770830044.581742,585,147.576643,0.252268,0,0,0
1770830044.684454,572,148.813916,0.260164,0,0,0
1770830044.781969,584,146.222749,0.250381,0,0,0
1770830044.881710,575,153.978041,0.267788,0,0,0
1770830044.981728,561,147.530290,0.262977,0,0,0
1770830045.081786,543,136.135344,0.250710,0,0,0
1770830045.181933,540,145.529813,0.269500,0,0,0
1770830045.282578,519,126.245085,0.243247,0,0,0
1770830045.382905,551,148.212219,0.268988,0,0,0
1770830045.482970,546,135.312277,0.247825,0,0,0
1770830045.583114,568,155.411708,0.273612,0,0,0
1770830045.681890,561,142.190757,0.253459,0,0,0
1770830045.781725,564,145.631716,0.258212,0,0,0
1770830045.884119,570,149.864182,0.262920,0,0,0
1770830045.980679,567,151.205364,0.266676,0,0,0
1770830046.081732,566,150.823817,0.266473,0,0,0
1770830046.181618,577,155.933360,0.270248,0,0,0
1770830046.281925,582,149.596292,0.257038,0,0,0
1770830046.382262,565,152.258045,0.269483,0,0,0
1770830046.482346,573,151.645935,0.264653,0,0,0
1770830046.581697,567,155.123478,0.273586,0,0,0
1770830046.681685,556,150.800061,0.271223,0,0,0
1770830046.781728,555,146.558058,0.264069,0,0,0
1770830046.883494,569,154.542428,0.271604,0,0,0
1770830046.982180,566,148.969609,0.263197,0,0,0
1770830047.081721,570,150.914959,0.264763,0,0,0
1770830047.181869,580,159.613962,0.275196,0,0,0
1770830047.281726,556,143.284321,0.257706,0,0,0
1770830047.381729,579,155.580921,0.268706,0,0,0
1770830047.482449,577,147.645335,0.255884,0,0,0
1770830047.581706,555,142.668111,0.257060,0,0,0
1770830047.685268,545,137.031673,0.251434,0,0,0
1770830047.782811,574,149.105352,0.259765,0,0,0
1770830047.882471,568,139.098309,0.244891,0,0,0
1770830047.982152,574,151.787805,0.264439,0,0,0
1770830048.081744,572,147.501198,0.257869,0,0,0
1770830048.181952,579,157.692023,0.272352,0,0,0
1770830048.282551,587,159.129357,0.271089,0,0,0
1770830048.381908,575,158.209020,0.275146,0,0,0
1770830048.482982,547,145.815044,0.266572,0,0,0
1770830048.581748,569,152.907008,0.268729,0,0,0
1770830048.681794,561,146.045233,0.260330,0,0,0
1770830048.781906,535,132.777567,0.248182,0,0,0
1770830048.882124,530,145.770713,0.275039,0,0,0
1770830048.981632,567,149.288224,0.263295,0,0,0
