t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1770830042.782262,0,nan,nan,0,0,0
1770830042.881756,0,nan,nan,0,0,0
1770830042.981813,0,nan,nan,0,0,0
1770830043.181806,0,nan,nan,0,0,0
1770830043.281721,0,nan,nan,0,0,1
1770830043.381768,0,nan,nan,0,0,1
1770830043.483027,0,nan,nan,0,0,1
1770830043.582611,0,nan,nan,0,0,1
1770830043.681720,0,nan,nan,0,0,1
1770830043.782278,0,nan,nan,0,1,1
1770830043.881291,873,242.635605,0.277933,0,1,1
1770830043.982441,843,230.780160,0.273761,0,1,1
1770830044.081752,855,231.094244,0.270286,0,1,0
1770830044.181773,839,225.528551,0.268806,0,0,0
1770830044.281808,849,215.765159,0.254140,0,0,0
1770830044.382286,819,224.349316,0.273931,0,0,0
1770830044.483016,860,231.349424,0.269011,0,0,0
1770830044.581742,856,239.511819,0.279804,0,0,0
1770830044.684454,835,224.585195,0.268964,0,0,0
1770830044.781969,837,230.528647,0.275423,0,0,0
1770830044.881710,856,232.211629,0.271275,0,0,0
1770830044.981728,811,221.155699,0.272695,0,0,0
1770830045.081786,803,214.852525,0.267562,0,0,0
1770830045.181933,792,210.421097,0.265683,0,0,0
1770830045.282578,768,199.116556,0.259266,0,0,0
1770830045.382905,800,208.700776,0.260876,0,0,0
1770830045.482970,806,218.653826,0.271283,0,0,0
1770830045.583114,818,224.014381,0.273856,0,0,0
1770830045.681890,831,228.207755,0.274618,0,0,0
1770830045.781725,818,222.680518,0.272226,0,0,0
1770830045.884119,823,220.591274,0.268033,0,0,0
1770830045.980679,844,235.924314,0.279531,0,0,0
1770830046.081732,815,225.318713,0.276465,0,0,0
1770830046.181618,809,217.111830,0.268371,0,0,0
1770830046.281925,854,234.118188,0.274143,0,0,0
1770830046.382262,789,208.704125,0.264517,0,0,0
1770830046.482346,835,228.132211,0.273212,0,0,0
1770830046.581697,830,226.757540,0.273202,0,0,0
1770830046.681685,817,217.587654,0.266325,0,0,0
1770830046.781728,814,219.268936,0.269372,0,0,0
1770830046.883494,825,221.732190,0.268766,0,0,0
1770830046.982180,854,236.961169,0.277472,0,0,0
1770830047.081721,831,230.318509,0.277158,0,0,0
1770830047.181869,855,231.249249,0.270467,0,0,0
1770830047.281726,808,207.635508,0.256975,0,0,0
1770830047.381729,839,225.932891,0.269288,0,0,0
1770830047.482449,843,229.819017,0.272620,0,0,0
1770830047.581706,840,228.563502,0.272099,0,0,0
1770830047.685268,788,200.855668,0.254893,0,0,0
1770830047.782811,830,225.251899,0.271388,0,0,0
1770830047.882471,775,198.569309,0.256218,0,0,0
1770830047.982152,839,220.485867,0.262796,0,0,0
1770830048.081744,805,208.060636,0.258460,0,0,0
1770830048.181952,838,231.090628,0.275764,0,0,0
1770830048.282551,855,232.540672,0.271977,0,0,0
1770830048.381908,835,229.377994,0.274704,0,0,0
1770830048.482982,798,221.116920,0.277089,0,0,0
1770830048.581748,837,231.952193,0.277123,0,0,0
1770830048.681794,821,228.156911,0.277901,0,0,0
1770830048.781906,771,201.625725,0.261512,0,0,0
1770830048.882124,772,209.285707,0.271095,0,0,0
1770830048.981632,803,225.320437,0.280598,0,0,0
1770830049.082996,789,217.200140,0.275285,0,0,0
