t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1770824497.387571,0,nan,nan,0,0,0
1770824497.487535,0,nan,nan,0,0,0
1770824497.587591,0,nan,nan,0,0,0
1770824497.688066,0,nan,nan,0,0,0
1770824497.787723,0,nan,nan,0,0,1
1770824497.887925,0,nan,nan,0,0,1
1770824497.987601,0,nan,nan,0,0,1
1770824498.087832,0,nan,nan,0,0,1
1770824498.187714,0,nan,nan,0,0,1
1770824498.287710,0,nan,nan,0,1,1
1770824498.388159,921,216.360249,0.234919,0,1,1
1770824498.487638,933,227.062307,0.243368,0,1,1
1770824498.587732,899,206.367780,0.229553,0,1,0
1770824498.686110,879,221.600157,0.252105,0,0,0
1770824498.787645,877,206.716373,0.235709,0,0,0
1770824498.889106,864,216.876419,0.251014,0,0,0
1770824498.987681,855,210.147820,0.245787,0,0,0
1770824499.087636,875,221.857921,0.253552,0,0,0
1770824499.187566,868,215.915522,0.248751,0,0,0
1770824499.287741,846,207.030552,0.244717,0,0,0
1770824499.386428,877,221.282093,0.252317,0,0,0
1770824499.488230,867,212.096094,0.244632,0,0,0
1770824499.587887,824,209.171841,0.253849,0,0,0
1770824499.687989,847,204.643959,0.241610,0,0,0
1770824499.787564,867,227.412365,0.262298,0,0,0
1770824499.887865,805,186.429009,0.231589,0,0,0
1770824499.987583,798,215.385128,0.269906,0,0,0
1770824500.087697,772,183.442872,0.237620,0,0,0
1770824500.187802,741,204.765301,0.276336,0,0,0
1770824500.287693,681,176.821027,0.259649,0,0,0
1770824500.387543,713,196.040895,0.274952,0,0,0
1770824500.487718,686,186.789627,0.272288,0,0,0
1770824500.587826,755,208.474163,0.276125,0,0,0
1770824500.687594,781,220.644162,0.282515,0,0,0
1770824500.787877,787,222.618701,0.282870,0,0,0
1770824500.887607,814,227.565299,0.279564,0,0,0
1770824500.987585,794,214.741469,0.270455,0,0,0
1770824501.087791,771,204.016776,0.264613,0,0,0
1770824501.187688,768,198.415051,0.258353,0,0,0
1770824501.287637,772,214.783001,0.278216,0,0,0
1770824501.387748,733,179.814826,0.245314,0,0,0
1770824501.487980,727,202.133512,0.278038,0,0,0
1770824501.587543,763,196.748224,0.257861,0,0,0
1770824501.688025,767,207.487277,0.270518,0,0,0
1770824501.787575,739,194.820794,0.263628,0,0,0
1770824501.887691,749,200.455064,0.267630,0,0,0
1770824501.987852,761,202.417514,0.265989,0,0,0
1770824502.087710,740,198.354698,0.268047,0,0,0
1770824502.187613,763,204.932970,0.268588,0,0,0
1770824502.287646,720,188.021607,0.261141,0,0,0
1770824502.387727,745,201.898946,0.271005,0,0,0
1770824502.488608,733,203.011804,0.276960,0,0,0
1770824502.587601,741,208.404945,0.281248,0,0,0
1770824502.687736,738,199.714764,0.270616,0,0,0
1770824502.787539,747,197.274037,0.264088,0,0,0
1770824502.887975,754,199.680223,0.264828,0,0,0
1770824502.987840,764,211.265683,0.276526,0,0,0
1770824503.088823,759,210.894892,0.277859,0,0,0
1770824503.187607,779,208.110045,0.267150,0,0,0
1770824503.287838,806,221.715608,0.275081,0,0,0
1770824503.387672,774,193.662257,0.250210,0,0,0
1770824503.487586,803,213.882327,0.266354,0,0,0
1770824503.587783,810,218.889342,0.270234,0,0,0
1770824503.689125,834,221.738167,0.265873,0,0,0
1770824503.787751,852,210.212565,0.246728,0,0,0
1770824503.887754,871,225.296894,0.258665,0,0,0
1770824503.987580,842,220.097255,0.261398,0,0,0
1770824504.087913,845,221.240204,0.261823,0,0,0
1770824504.187578,807,214.439155,0.265724,0,0,0
1770824504.287591,811,215.860134,0.266165,0,0,0
1770824504.388276,819,204.869041,0.250145,0,0,0
1770824504.487683,807,188.737125,0.233875,0,0,0
1770824504.587554,796,199.072808,0.250091,0,0,0
1770824504.687618,786,185.151999,0.235562,0,0,0
1770824504.787674,757,199.070136,0.262972,0,0,0
1770824504.887691,781,174.884748,0.223924,0,0,0
1770824504.987534,774,194.926834,0.251843,0,0,0
1770824505.087641,769,173.486760,0.225600,0,0,0
1770824505.187697,789,198.397090,0.251454,0,0,0
