t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1769438249.349632,0,nan,nan,0,0,0
1769438249.449118,0,nan,nan,0,0,0
1769438249.549167,0,nan,nan,0,0,0
1769438249.649100,0,nan,nan,0,0,0
1769438249.749327,0,nan,nan,0,0,1
1769438249.849946,0,nan,nan,0,0,1
1769438249.949691,0,nan,nan,0,0,1
1769438250.050846,0,nan,nan,0,0,1
1769438250.149218,0,nan,nan,0,0,1
1769438250.249667,0,nan,nan,0,1,1
1769438250.349234,2584,764.173720,0.295733,0,1,1
1769438250.449543,2618,786.907170,0.300576,0,1,1
1769438250.549100,2625,776.223450,0.295704,0,1,0
1769438250.649735,2543,754.622884,0.296745,0,0,0
1769438250.749919,2618,773.174848,0.295330,0,0,0
1769438250.849045,2573,759.020172,0.294994,0,0,0
1769438250.950634,2656,781.353789,0.294184,0,0,0
1769438251.050699,2658,800.567593,0.301192,0,0,0
1769438251.150683,2582,775.290338,0.300267,0,0,0
1769438251.249501,2652,796.931912,0.300502,0,0,0
1769438251.348925,2601,788.932610,0.303319,0,0,0
1769438251.449045,2587,770.738462,0.297928,0,0,0
1769438251.550549,2667,791.344047,0.296717,0,0,0
1769438251.650662,2564,754.310158,0.294193,0,0,0
1769438251.750058,2565,767.806104,0.299340,0,0,0
1769438251.847539,2538,745.205336,0.293619,0,0,0
1769438251.950871,2553,757.231116,0.296604,0,0,0
1769438252.049421,2543,745.525459,0.293168,0,0,0
1769438252.149036,2533,749.699406,0.295973,0,0,0
1769438252.249709,2571,754.411738,0.293431,0,0,0
1769438252.348981,2434,720.469795,0.296002,0,0,0
1769438252.449328,2629,764.533840,0.290808,0,0,0
1769438252.551044,2612,767.139370,0.293698,0,0,0
1769438252.649675,2568,756.041521,0.294409,0,0,0
1769438252.749485,2543,749.155179,0.294595,0,0,0
1769438252.848912,2530,754.927644,0.298390,0,0,0
1769438252.949019,2534,751.842599,0.296702,0,0,0
1769438253.049393,2559,765.270122,0.299050,0,0,0
1769438253.149211,2479,723.878510,0.292004,0,0,0
1769438253.250465,2573,748.390585,0.290863,0,0,0
1769438253.349850,2558,734.280993,0.287053,0,0,0
1769438253.449603,2530,741.230699,0.292977,0,0,0
1769438253.549716,2607,775.194935,0.297351,0,0,0
1769438253.649222,2554,750.684330,0.293925,0,0,0
1769438253.750593,2507,748.324250,0.298494,0,0,0
1769438253.849017,2597,771.484653,0.297068,0,0,0
1769438253.949023,2548,756.923117,0.297066,0,0,0
1769438254.048868,2555,767.101938,0.300236,0,0,0
1769438254.149026,2574,756.985131,0.294089,0,0,0
1769438254.251678,2538,753.278444,0.296800,0,0,0
1769438254.349749,2526,741.259490,0.293452,0,0,0
1769438254.449535,2496,725.432915,0.290638,0,0,0
1769438254.549387,2522,745.511618,0.295603,0,0,0
1769438254.649045,2526,746.603293,0.295567,0,0,0
1769438254.749888,2399,703.817297,0.293379,0,0,0
1769438254.850530,2585,759.091112,0.293652,0,0,0
1769438254.949464,2487,714.520575,0.287302,0,0,0
1769438255.049633,2618,767.570066,0.293189,0,0,0
1769438255.149637,2514,740.104229,0.294393,0,0,0
1769438255.251157,2552,750.916734,0.294246,0,0,0
1769438255.350776,2476,730.311149,0.294956,0,0,0
1769438255.449232,2535,743.674404,0.293363,0,0,0
1769438255.549583,2552,758.605142,0.297259,0,0,0
1769438255.649289,2542,762.367713,0.299909,0,0,0
1769438255.749174,2520,743.684548,0.295113,0,0,0
1769438255.848935,2560,745.197934,0.291093,0,0,0
1769438255.949034,2604,760.135297,0.291911,0,0,0
1769438256.049472,2511,736.611475,0.293354,0,0,0
1769438256.149021,2627,793.366867,0.302005,0,0,0
1769438256.249533,2596,767.824815,0.295772,0,0,0
1769438256.348917,2579,775.218506,0.300589,0,0,0
1769438256.449532,2614,775.170452,0.296546,0,0,0
1769438256.548932,2639,784.805237,0.297387,0,0,0
1769438256.648910,2560,761.313045,0.297388,0,0,0
1769438256.750678,2600,768.600065,0.295615,0,0,0
1769438256.850877,2512,744.234683,0.296272,0,0,0
1769438256.950631,2559,756.185188,0.295500,0,0,0
1769438257.048913,2551,743.382966,0.291408,0,0,0
1769438257.152627,2552,761.025958,0.298208,0,0,0
1769438257.250781,2533,745.001640,0.294118,0,0,0
1769438257.349650,2531,757.452605,0.299270,0,0,0
1769438257.449534,2601,759.733176,0.292093,0,0,0
1769438257.550503,2520,749.574646,0.297450,0,0,0
1769438257.649146,2571,753.343974,0.293016,0,0,0
1769438257.749974,2618,784.412179,0.299623,0,0,0
1769438257.849029,2562,770.947227,0.300916,0,0,0
1769438257.948869,2537,762.051661,0.300375,0,0,0
1769438258.048876,2444,728.277312,0.297986,0,0,0
1769438258.149134,2609,773.198571,0.296358,0,0,0
1769438258.250085,2583,753.571812,0.291743,0,0,0
1769438258.349001,2620,777.719730,0.296840,0,0,0
1769438258.449473,2612,764.872942,0.292830,0,0,0
1769438258.550530,2646,765.712041,0.289385,0,0,0
1769438258.650905,2556,757.103026,0.296206,0,0,0
1769438258.749102,2737,816.331207,0.298258,0,0,0
1769438258.849548,2624,787.632375,0.300165,0,0,0
1769438258.949533,2686,810.008646,0.301567,0,0,0
1769438259.048978,2650,792.537231,0.299071,0,0,0
1769438259.149428,2688,803.290458,0.298843,0,0,0
1769438259.249058,2677,792.970161,0.296216,0,0,0
1769438259.351007,2653,779.200799,0.293706,0,0,0
1769438259.449425,2601,763.338938,0.293479,0,0,0
1769438259.549369,2601,754.766038,0.290183,0,0,0
1769438259.649194,2634,750.261289,0.284837,0,0,0
1769438259.749008,2532,741.278847,0.292764,0,0,0
1769438259.848942,2706,772.570294,0.285503,0,0,0
1769438259.948832,2628,754.506195,0.287103,0,0,0
1769438260.051683,2701,785.597942,0.290854,0,0,0
1769438260.149938,2626,765.279270,0.291424,0,0,0
1769438260.249548,2559,740.679401,0.289441,0,0,0
1769438260.349490,2651,770.345030,0.290587,0,0,0
1769438260.449630,2630,772.144998,0.293591,0,0,0
1769438260.550682,2567,746.742865,0.290901,0,0,0
1769438260.649556,2670,784.860279,0.293955,0,0,0
1769438260.750509,2634,766.743107,0.291095,0,0,0
1769438260.849961,2669,776.201921,0.290821,0,0,0
1769438260.948830,2680,787.880897,0.293985,0,0,0
1769438261.048975,2728,795.506276,0.291608,0,0,0
1769438261.148997,2624,767.514677,0.292498,0,0,0
1769438261.251049,2757,821.538858,0.297983,0,0,0
1769438261.349457,2651,787.924584,0.297218,0,0,0
1769438261.448947,2698,785.857979,0.291274,0,0,0
1769438261.549315,2745,804.561692,0.293101,0,0,0
1769438261.650653,2697,792.698425,0.293919,0,0,0
1769438261.749458,2621,762.904946,0.291074,0,0,0
1769438261.849800,2653,782.080624,0.294791,0,0,0
1769438261.950493,2675,777.788091,0.290762,0,0,0
1769438262.049566,2637,765.525479,0.290302,0,0,0
1769438262.149598,2627,755.214668,0.287482,0,0,0
1769438262.249359,2682,767.309099,0.286096,0,0,0
1769438262.349047,2596,759.034059,0.292386,0,0,0
1769438262.448850,2674,766.366649,0.286599,0,0,0
1769438262.549676,2627,755.896361,0.287741,0,0,0
1769438262.650019,2752,809.806194,0.294261,0,0,0
1769438262.749439,2707,790.481314,0.292014,0,0,0
1769438262.849496,2652,777.889776,0.293322,0,0,0
1769438262.950588,2538,735.797390,0.289912,0,0,0
1769438263.048908,2696,800.177421,0.296802,0,0,0
1769438263.150430,2646,760.404463,0.287379,0,0,0
1769438263.250608,2556,730.031402,0.285615,0,0,0
1769438263.348987,2696,776.589547,0.288053,0,0,0
1769438263.451331,2698,762.370094,0.282569,0,0,0
1769438263.549611,2611,752.730362,0.288292,0,0,0
1769438263.650411,2723,801.571762,0.294371,0,0,0
1769438263.749407,2770,810.431927,0.292575,0,0,0
1769438263.849482,2666,794.254321,0.297920,0,0,0
1769438263.950721,2678,796.133104,0.297286,0,0,0
1769438264.050410,2607,772.030735,0.296138,0,0,0
1769438264.149109,2511,741.965152,0.295486,0,0,0
1769438264.248687,2685,794.380080,0.295859,0,0,0
1769438264.350082,2620,764.309279,0.291721,0,0,0
1769438264.450422,2517,735.789660,0.292328,0,0,0
1769438264.548779,2668,781.138592,0.292781,0,0,0
1769438264.650419,2617,773.568304,0.295594,0,0,0
1769438264.750545,2518,746.958953,0.296648,0,0,0
1769438264.848930,2622,778.584668,0.296943,0,0,0
1769438264.950459,2602,762.010377,0.292856,0,0,0
1769438265.050428,2650,783.378412,0.295614,0,0,0
1769438265.149574,2570,758.880737,0.295284,0,0,0
1769438265.252154,2647,801.963194,0.302971,0,0,0
1769438265.350586,2585,768.142832,0.297154,0,0,0
1769438265.451063,2665,809.683392,0.303821,0,0,0
1769438265.550420,2514,748.585690,0.297767,0,0,0
1769438265.651568,2685,811.061485,0.302071,0,0,0
1769438265.749334,2645,792.023189,0.299442,0,0,0
1769438265.849803,2673,802.606481,0.300264,0,0,0
1769438265.950500,2747,819.735879,0.298411,0,0,0
1769438266.049078,2737,816.436351,0.298296,0,0,0
1769438266.149468,2772,835.437144,0.301384,0,0,0
1769438266.250465,2722,819.257484,0.300976,0,0,0
1769438266.349903,2650,805.030222,0.303785,0,0,0
1769438266.449444,2681,813.743862,0.303523,0,0,0
1769438266.549241,2690,809.084857,0.300775,0,0,0
1769438266.649347,2610,789.063269,0.302323,0,0,0
1769438266.750476,2643,806.525777,0.305155,0,0,0
1769438266.849361,2593,782.832577,0.301902,0,0,0
1769438266.949373,2610,797.189909,0.305437,0,0,0
1769438267.049164,2552,755.734050,0.296134,0,0,0
1769438267.148931,2470,749.370971,0.303389,0,0,0
1769438267.251103,2664,808.555137,0.303512,0,0,0
1769438267.351566,2617,788.802378,0.301415,0,0,0
1769438267.450702,2596,777.281105,0.299415,0,0,0
1769438267.550422,2621,801.925851,0.305962,0,0,0
1769438267.650444,2603,776.436194,0.298285,0,0,0
1769438267.750538,2502,756.353355,0.302300,0,0,0
1769438267.849654,2613,793.486511,0.303669,0,0,0
1769438267.949522,2530,768.702247,0.303835,0,0,0
1769438268.049355,2385,720.500897,0.302097,0,0,0
1769438268.148304,2553,777.217895,0.304433,0,0,0
1769438268.250751,2570,774.061130,0.301191,0,0,0
1769438268.349077,2542,757.694714,0.298070,0,0,0
1769438268.449024,2591,771.801722,0.297878,0,0,0
1769438268.549225,2646,772.101340,0.291799,0,0,0
1769438268.650424,2670,796.345964,0.298257,0,0,0
1769438268.750436,2511,744.801276,0.296615,0,0,0
1769438268.850338,2688,791.755889,0.294552,0,0,0
1769438268.949020,2370,700.352205,0.295507,0,0,0
1769438269.048967,2594,761.608884,0.293604,0,0,0
1769438269.151025,2629,798.802137,0.303843,0,0,0
1769438269.250530,2427,717.756205,0.295738,0,0,0
1769438269.348949,2594,770.784953,0.297141,0,0,0
1769438269.450363,2543,744.805055,0.292884,0,0,0
1769438269.550489,2522,719.573869,0.285319,0,0,0
1769438269.651806,2488,738.302370,0.296745,0,0,0
1769438269.749431,2189,619.606258,0.283054,0,0,0
1769438269.849334,2575,738.607994,0.286838,0,0,0
1769438269.949353,2524,761.793985,0.301820,0,0,0
1769438270.050404,2503,732.247974,0.292548,0,0,0
1769438270.150491,2421,708.329910,0.292577,0,0,0
1769438270.250416,2418,707.844064,0.292739,0,0,0
1769438270.349031,2089,577.236700,0.276322,0,0,0
1769438270.450481,2273,647.845724,0.285018,0,0,0
1769438270.549546,2487,723.485963,0.290907,0,0,0
1769438270.649518,2406,649.705947,0.270036,0,0,0
1769438270.749663,2419,667.322177,0.275867,0,0,0
1769438270.850349,2372,684.957631,0.288768,0,0,0
1769438270.950097,2411,630.685368,0.261587,0,0,0
1769438271.050351,2352,664.519123,0.282534,0,0,0
1769438271.150486,2281,609.700547,0.267295,0,0,0
1769438271.250484,2484,727.360585,0.292818,0,0,0
1769438271.349323,2321,665.480909,0.286722,0,0,0
1769438271.450507,2506,717.953645,0.286494,0,0,0
1769438271.549234,2531,723.483861,0.285849,0,0,0
1769438271.650930,2457,706.648805,0.287606,0,0,0
1769438271.750633,2533,715.781658,0.282583,0,0,0
1769438271.849135,2473,709.039962,0.286712,0,0,0
1769438271.949484,2478,678.846408,0.273949,0,0,0
1769438272.048851,2431,696.210819,0.286389,0,0,0
1769438272.149600,2353,661.589604,0.281169,0,0,0
1769438272.249018,2470,711.186770,0.287930,0,0,0
1769438272.350445,2418,677.024379,0.279994,0,0,0
1769438272.448971,2441,695.514571,0.284930,0,0,0
1769438272.550333,2425,660.914302,0.272542,0,0,0
1769438272.648918,2456,705.727788,0.287348,0,0,0
1769438272.750643,2471,677.315796,0.274106,0,0,0
1769438272.850410,2373,651.347023,0.274483,0,0,0
1769438272.950349,2403,637.453617,0.265274,0,0,0
1769438273.051069,2401,661.221161,0.275394,0,0,0
1769438273.150332,2394,661.647880,0.276378,0,0,0
1769438273.250326,2390,651.689280,0.272673,0,0,0
1769438273.350463,2406,653.326291,0.271540,0,0,0
1769438273.449114,2443,678.797717,0.277854,0,0,0
1769438273.550407,2433,659.138588,0.270916,0,0,0
1769438273.649568,2455,674.193786,0.274621,0,0,0
1769438273.750437,2451,676.363662,0.275954,0,0,0
1769438273.851051,2435,672.285755,0.276093,0,0,0
1769438273.949002,2453,652.802567,0.266124,0,0,0
1769438274.049053,2416,652.507897,0.270078,0,0,0
1769438274.149180,2401,638.979061,0.266130,0,0,0
1769438274.250293,2341,616.983745,0.263556,0,0,0
1769438274.348925,2422,620.401248,0.256152,0,0,0
1769438274.451797,2359,621.853376,0.263609,0,0,0
1769438274.550388,2324,606.738120,0.261075,0,0,0
1769438274.650661,2323,606.105944,0.260915,0,0,0
1769438274.750321,2344,598.748550,0.255439,0,0,0
1769438274.850371,2339,614.607655,0.262765,0,0,0
1769438274.950309,2364,621.821466,0.263038,0,0,0
1769438275.049467,2397,643.674071,0.268533,0,0,0
1769438275.150346,2397,645.065118,0.269114,0,0,0
1769438275.249162,2378,629.746097,0.264822,0,0,0
1769438275.351529,2381,632.328444,0.265573,0,0,0
1769438275.449251,2332,617.892521,0.264962,0,0,0
1769438275.550386,2275,608.884597,0.267642,0,0,0
1769438275.649647,2367,611.689489,0.258424,0,0,0
