t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1769439476.131254,0,nan,nan,0,0,0
1769439476.231210,0,nan,nan,0,0,0
1769439476.332067,0,nan,nan,0,0,0
1769439476.431553,0,nan,nan,0,0,0
1769439476.531212,0,nan,nan,0,0,1
1769439476.631484,0,nan,nan,0,0,1
1769439476.731935,0,nan,nan,0,0,1
1769439476.832064,0,nan,nan,0,0,1
1769439476.932215,0,nan,nan,0,0,1
1769439477.032209,0,nan,nan,0,1,1
1769439477.132185,558,159.220640,0.285342,0,1,1
1769439477.231388,563,165.397444,0.293779,0,1,1
1769439477.331992,559,158.467409,0.283484,0,1,0
1769439477.434812,558,159.371546,0.285612,0,0,0
1769439477.531491,568,164.728408,0.290015,0,0,0
1769439477.632952,574,164.160181,0.285993,0,0,0
1769439477.731764,570,167.130016,0.293211,0,0,0
1769439477.832059,568,160.689979,0.282905,0,0,0
1769439477.931651,565,160.397971,0.283890,0,0,0
1769439478.031253,570,161.558532,0.283436,0,0,0
1769439478.131339,560,160.957450,0.287424,0,0,0
1769439478.231214,570,156.829363,0.275139,0,0,0
1769439478.332048,571,163.772029,0.286816,0,0,0
1769439478.431684,570,164.282572,0.288215,0,0,0
1769439478.531225,577,168.766027,0.292489,0,0,0
1769439478.632563,593,168.985908,0.284968,0,0,0
1769439478.732817,585,169.472662,0.289697,0,0,0
1769439478.832278,596,170.125767,0.285446,0,0,0
1769439478.932553,588,170.677676,0.290268,0,0,0
1769439479.031309,591,170.724961,0.288875,0,0,0
1769439479.133008,587,168.759231,0.287494,0,0,0
1769439479.233069,583,168.528517,0.289071,0,0,0
1769439479.331215,579,166.391515,0.287377,0,0,0
1769439479.431200,588,167.504119,0.284871,0,0,0
1769439479.531803,569,161.204828,0.283313,0,0,0
1769439479.631400,575,162.421401,0.282472,0,0,0
1769439479.731899,578,164.914736,0.285320,0,0,0
1769439479.831682,576,165.706855,0.287686,0,0,0
1769439479.929348,580,165.064636,0.284594,0,0,0
1769439480.032240,585,167.709697,0.286683,0,0,0
1769439480.132258,588,169.364564,0.288035,0,0,0
1769439480.232622,593,169.274804,0.285455,0,0,0
1769439480.331564,589,166.406998,0.282525,0,0,0
1769439480.431997,588,167.453758,0.284785,0,0,0
1769439480.531759,574,160.338327,0.279335,0,0,0
1769439480.632130,583,165.986842,0.284712,0,0,0
1769439480.733436,575,159.702762,0.277744,0,0,0
1769439480.831536,573,163.868663,0.285984,0,0,0
1769439480.931761,600,169.034221,0.281724,0,0,0
1769439481.031930,582,164.185869,0.282106,0,0,0
1769439481.131386,594,166.479431,0.280268,0,0,0
1769439481.232104,589,166.818576,0.283223,0,0,0
1769439481.331602,598,167.749197,0.280517,0,0,0
1769439481.431667,579,163.198914,0.281863,0,0,0
1769439481.532627,588,165.191303,0.280938,0,0,0
1769439481.631233,590,167.407422,0.283741,0,0,0
1769439481.732116,580,160.741417,0.277140,0,0,0
1769439481.831785,581,159.016508,0.273695,0,0,0
1769439481.931145,575,160.316985,0.278812,0,0,0
1769439482.032116,578,161.612694,0.279607,0,0,0
1769439482.132065,576,163.839666,0.284444,0,0,0
1769439482.232569,580,163.344059,0.281628,0,0,0
1769439482.331813,562,157.903869,0.280968,0,0,0
1769439482.432845,581,159.976776,0.275347,0,0,0
1769439482.529667,577,159.647110,0.276685,0,0,0
1769439482.631525,563,155.623037,0.276417,0,0,0
1769439482.731882,547,160.083267,0.292657,0,0,0
1769439482.832299,539,150.127973,0.278531,0,0,0
1769439482.931965,526,144.252877,0.274245,0,0,0
1769439483.031531,533,147.231442,0.276232,0,0,0
1769439483.131094,515,140.402623,0.272626,0,0,0
1769439483.234494,509,139.473477,0.274015,0,0,0
1769439483.331711,519,137.216474,0.264386,0,0,0
1769439483.431876,512,139.192244,0.271860,0,0,0
1769439483.532059,501,134.702624,0.268868,0,0,0
1769439483.632261,496,131.678135,0.265480,0,0,0
1769439483.732897,499,136.458712,0.273464,0,0,0
1769439483.831996,509,135.510625,0.266229,0,0,0
1769439483.931723,496,133.785877,0.269730,0,0,0
1769439484.032038,1263,306.021863,0.242298,0,0,0
1769439484.131558,501,133.858553,0.267183,0,0,0
1769439484.231718,496,127.808968,0.257679,0,0,0
1769439484.332347,1171,274.720796,0.234604,0,0,0
1769439484.432057,1301,304.645645,0.234163,0,0,0
1769439484.531483,1282,296.921087,0.231608,0,0,0
1769439484.631472,1347,322.662755,0.239542,0,0,0
1769439484.732087,1357,333.436369,0.245716,0,0,0
1769439484.831916,1346,339.523501,0.252246,0,0,0
1769439484.930555,1343,320.797510,0.238866,0,0,0
1769439485.032034,1417,358.125177,0.252735,0,0,0
1769439485.131207,1419,354.966838,0.250153,0,0,0
1769439485.231618,1431,342.217548,0.239146,0,0,0
1769439485.331822,1440,358.870142,0.249215,0,0,0
1769439485.432972,1471,360.440694,0.245031,0,0,0
1769439485.535240,1478,370.883600,0.250936,0,0,0
1769439485.631582,1473,353.081045,0.239702,0,0,0
1769439485.731445,1454,353.840199,0.243356,0,0,0
1769439485.832070,1435,352.159607,0.245407,0,0,0
1769439485.932288,1388,349.839142,0.252045,0,0,0
1769439486.031460,1434,361.411411,0.252030,0,0,0
1769439486.131707,1428,369.361838,0.258657,0,0,0
1769439486.231593,1446,366.254176,0.253288,0,0,0
1769439486.333446,1487,377.597526,0.253932,0,0,0
1769439486.431073,1493,395.480981,0.264890,0,0,0
1769439486.531435,1499,384.805041,0.256708,0,0,0
1769439486.632272,1502,386.224664,0.257140,0,0,0
1769439486.732861,1491,363.853881,0.244033,0,0,0
1769439486.832254,1474,368.773560,0.250186,0,0,0
1769439486.932207,1473,361.871562,0.245670,0,0,0
1769439487.031595,1437,351.964275,0.244930,0,0,0
1769439487.131477,1428,353.380646,0.247465,0,0,0
1769439487.235321,1422,355.208731,0.249795,0,0,0
1769439487.332409,1449,370.040156,0.255376,0,0,0
1769439487.432007,1446,359.426629,0.248566,0,0,0
1769439487.532944,1471,368.541212,0.250538,0,0,0
1769439487.632015,500,130.747936,0.261496,0,0,0
1769439487.732036,491,134.897358,0.274740,0,0,0
1769439487.832074,514,142.052570,0.276367,0,0,1
1769439487.932388,514,143.989770,0.280136,0,0,1
1769439488.031896,528,139.097909,0.263443,0,0,1
1769439488.132745,546,147.205163,0.269607,0,0,1
1769439488.231830,569,161.392312,0.283642,0,0,1
1769439488.331444,578,158.897891,0.274910,0,0,1
1769439488.431257,580,159.719662,0.275379,0,0,1
1769439488.532044,583,158.007108,0.271024,0,0,1
1769439488.632167,589,162.664812,0.276171,0,0,1
1769439488.731885,591,162.167005,0.274394,0,0,1
1769439488.832254,599,161.402793,0.269454,0,0,0
1769439488.933283,590,160.135495,0.271416,0,0,0
1769439489.031865,610,165.913665,0.271990,0,0,0
1769439489.133409,603,162.757928,0.269914,0,0,0
1769439489.233105,593,157.716232,0.265963,0,0,0
1769439489.331987,592,158.575890,0.267865,0,0,0
1769439489.431412,592,160.335404,0.270837,0,0,0
1769439489.532192,586,158.876024,0.271119,0,0,0
1769439489.631582,577,151.492815,0.262553,0,0,0
1769439489.732568,590,157.575365,0.267077,0,0,0
1769439489.832179,582,153.543021,0.263820,0,0,0
1769439489.931481,579,156.652905,0.270558,0,0,0
1769439490.031995,598,157.513966,0.263401,0,0,0
1769439490.131705,587,156.414651,0.266464,0,0,0
1769439490.232270,604,160.875856,0.266351,0,0,0
1769439490.332168,592,156.353013,0.264110,0,0,0
1769439490.431212,612,169.145698,0.276382,0,0,0
1769439490.531913,581,145.637530,0.250667,0,0,0
1769439490.631695,586,155.410569,0.265206,0,0,0
1769439490.732022,589,154.633121,0.262535,0,0,0
1769439490.831676,579,153.563144,0.265221,0,0,0
1769439490.931975,599,160.083693,0.267252,0,0,0
1769439491.032001,592,161.002748,0.271964,0,0,0
1769439491.132327,602,158.755653,0.263714,0,0,0
1769439491.231677,588,161.772811,0.275124,0,0,0
1769439491.331173,612,164.739972,0.269183,0,0,0
1769439491.431376,595,166.635627,0.280060,0,0,0
1769439491.532203,610,163.966575,0.268798,0,0,0
1769439491.631607,596,165.418454,0.277548,0,0,0
1769439491.731391,604,163.885622,0.271334,0,0,0
1769439491.832923,589,157.584702,0.267546,0,0,0
1769439491.932127,590,157.950558,0.267713,0,0,0
1769439492.033973,579,154.180148,0.266287,0,0,0
1769439492.132260,590,160.429635,0.271915,0,0,0
1769439492.232253,584,156.224464,0.267508,0,0,0
1769439492.331624,580,160.199664,0.276206,0,0,0
1769439492.431534,579,155.906164,0.269268,0,0,0
1769439492.531176,597,164.727794,0.275926,0,0,0
1769439492.631604,602,164.412081,0.273110,0,0,0
1769439492.732250,584,161.937555,0.277290,0,0,0
1769439492.836287,592,159.138954,0.268816,0,0,0
1769439492.931560,582,162.332579,0.278922,0,0,0
1769439493.031072,596,158.199393,0.265435,0,0,0
1769439493.131398,586,158.492700,0.270465,0,0,0
1769439493.231879,591,161.647682,0.273516,0,0,0
1769439493.331393,592,158.210285,0.267247,0,0,0
1769439493.431228,596,163.907910,0.275013,0,0,0
1769439493.532886,595,160.261218,0.269347,0,0,0
1769439493.632226,601,164.288830,0.273359,0,0,0
1769439493.732001,602,165.288740,0.274566,0,0,0
1769439493.831942,623,168.681886,0.270757,0,0,0
1769439493.931325,613,167.639024,0.273473,0,0,0
1769439494.031866,620,172.177252,0.277705,0,0,0
1769439494.132297,616,172.347313,0.279785,0,0,0
1769439494.231128,601,162.939050,0.271113,0,0,0
1769439494.331385,605,163.955093,0.271000,0,0,0
1769439494.432123,608,166.183888,0.273329,0,0,0
1769439494.531591,609,167.976308,0.275823,0,0,0
1769439494.631907,601,163.122905,0.271419,0,0,0
1769439494.732953,589,162.822836,0.276439,0,0,0
1769439494.831311,595,161.255736,0.271018,0,0,0
1769439494.931230,603,171.101892,0.283751,0,0,0
1769439495.031209,616,165.548019,0.268747,0,0,0
1769439495.132645,599,164.777570,0.275088,0,0,0
1769439495.231814,615,166.714171,0.271080,0,0,0
1769439495.331555,603,163.072242,0.270435,0,0,0
1769439495.431883,606,164.875459,0.272072,0,0,0
1769439495.531695,602,154.926455,0.257353,0,0,0
1769439495.631625,617,164.667323,0.266884,0,0,0
1769439495.733481,603,162.112799,0.268844,0,0,0
1769439495.831941,598,160.257973,0.267990,0,0,0
1769439495.931391,613,163.439925,0.266623,0,0,0
1769439496.031493,611,168.812836,0.276289,0,0,0
1769439496.128977,624,166.071048,0.266140,0,0,0
1769439496.231108,618,171.687809,0.277812,0,0,0
1769439496.332267,618,167.306111,0.270722,0,0,0
1769439496.432065,614,173.533362,0.282628,0,0,0
1769439496.531915,623,168.006330,0.269673,0,0,0
1769439496.631488,614,171.658446,0.279574,0,0,0
1769439496.731949,617,167.455418,0.271403,0,0,0
1769439496.833578,617,169.958931,0.275460,0,0,0
1769439496.933283,610,164.986310,0.270469,0,0,0
1769439497.031369,601,161.083249,0.268025,0,0,0
1769439497.131961,596,163.841657,0.274902,0,0,0
1769439497.231568,599,154.704452,0.258271,0,0,0
1769439497.331566,613,168.854849,0.275457,0,0,0
1769439497.431920,604,162.369624,0.268824,0,0,0
1769439497.531946,600,158.727917,0.264547,0,0,0
1769439497.633567,612,167.623106,0.273894,0,0,0
1769439497.731558,613,169.931101,0.277212,0,0,0
1769439497.830975,616,165.469126,0.268619,0,0,0
1769439497.932562,610,170.088648,0.278834,0,0,0
1769439498.031972,614,168.587047,0.274572,0,0,0
1769439498.131977,600,162.488115,0.270814,0,0,0
1769439498.231898,600,161.102553,0.268504,0,0,0
1769439498.331990,614,167.585924,0.272941,0,0,0
1769439498.431846,603,158.236476,0.262415,0,0,0
1769439498.533056,616,167.330695,0.271641,0,0,0
1769439498.631883,614,168.142855,0.273848,0,0,0
1769439498.731950,618,170.312691,0.275587,0,0,0
1769439498.831941,617,166.502190,0.269858,0,0,0
1769439498.931257,614,167.261066,0.272412,0,0,0
1769439499.032019,619,166.218048,0.268527,0,0,0
1769439499.131356,611,164.641489,0.269462,0,0,0
1769439499.231631,617,169.038315,0.273968,0,0,0
1769439499.332556,617,168.688291,0.273401,0,0,0
1769439499.432305,615,167.481788,0.272328,0,0,0
1769439499.531955,620,167.944423,0.270878,0,0,0
1769439499.632916,609,164.857210,0.270701,0,0,0
1769439499.732036,617,168.184316,0.272584,0,0,0
1769439499.832045,609,163.707164,0.268813,0,0,0
1769439499.931947,592,163.727331,0.276566,0,0,0
1769439500.031237,609,163.662168,0.268739,0,0,0
1769439500.133277,616,172.444041,0.279942,0,0,0
1769439500.231939,606,162.762719,0.268585,0,0,0
1769439500.331894,589,161.701147,0.274535,0,0,0
1769439500.430967,602,164.954059,0.274010,0,0,0
1769439500.531836,594,161.274419,0.271506,0,0,0
1769439500.632908,597,165.139484,0.276616,0,0,0
1769439500.731963,579,161.962878,0.279729,0,0,0
1769439500.830861,573,154.909400,0.270348,0,0,0
1769439500.932573,593,167.234748,0.282015,0,0,0
1769439501.031418,579,161.678022,0.279237,0,0,0
1769439501.133857,564,161.846535,0.286962,0,0,0
1769439501.231536,572,159.550092,0.278934,0,0,0
1769439501.331755,571,161.020926,0.281998,0,0,0
1769439501.432676,560,163.265954,0.291546,0,0,0
1769439501.531313,549,155.485136,0.283215,0,0,0
1769439501.632892,548,155.833335,0.284367,0,0,0
1769439501.731992,552,159.493171,0.288937,0,0,0
1769439501.831265,569,160.174120,0.281501,0,0,0
1769439501.931312,576,167.199876,0.290278,0,0,0
1769439502.031626,563,163.627480,0.290635,0,0,0
1769439502.131835,565,159.382329,0.282093,0,0,0
1769439502.231335,539,153.597118,0.284967,0,0,0
1769439502.331931,506,132.205158,0.261275,0,0,0
1769439502.434582,560,157.987000,0.282120,0,0,0
1769439502.532892,525,135.147676,0.257424,0,0,0
1769439502.630892,563,153.112238,0.271958,0,0,0
1769439502.731651,539,148.990274,0.276420,0,0,0
1769439502.831357,563,158.380625,0.281315,0,0,0
1769439502.931587,546,147.885981,0.270853,0,0,0
1769439503.031789,566,154.278636,0.272577,0,0,0
1769439503.132230,546,146.966630,0.269170,0,0,0
1769439503.231800,567,145.697149,0.256961,0,0,0
1769439503.331933,531,151.203447,0.284752,0,0,0
1769439503.431492,556,152.153244,0.273657,0,0,0
1769439503.532361,579,152.337873,0.263105,0,0,0
1769439503.632049,550,150.609338,0.273835,0,0,0
1769439503.732873,561,159.717590,0.284702,0,0,0
1769439503.831363,579,160.835864,0.277782,0,0,0
1769439503.931622,549,152.670367,0.278088,0,0,0
1769439504.031908,559,150.874933,0.269901,0,0,0
1769439504.132549,555,153.712953,0.276960,0,0,0
1769439504.232419,558,147.170720,0.263747,0,0,0
1769439504.331511,558,154.887613,0.277576,0,0,0
1769439504.432966,564,152.351717,0.270127,0,0,0
1769439504.532129,546,152.443326,0.279200,0,0,0
1769439504.631881,565,152.417436,0.269765,0,0,0
1769439504.732262,524,150.035660,0.286328,0,0,0
1769439504.831067,551,153.871529,0.279259,0,0,0
1769439504.932686,552,147.612635,0.267414,0,0,0
1769439505.031394,559,149.676982,0.267758,0,0,0
1769439505.132097,509,132.104614,0.259538,0,0,0
1769439505.231529,552,140.124630,0.253849,0,0,0
1769439505.332924,520,133.666141,0.257050,0,0,0
1769439505.431847,525,134.236060,0.255688,0,0,0
1769439505.531804,551,144.377828,0.262029,0,0,0
1769439505.631140,514,133.805627,0.260322,0,0,0
1769439505.732137,536,139.132232,0.259575,0,0,0
1769439505.831402,531,133.980475,0.252317,0,0,0
1769439505.931768,530,143.818930,0.271356,0,0,0
1769439506.032938,547,139.841295,0.255651,0,0,0
1769439506.131586,547,143.610271,0.262542,0,0,0
1769439506.232655,571,152.178143,0.266512,0,0,0
1769439506.331835,482,119.531137,0.247990,0,0,0
1769439506.434268,553,142.232184,0.257201,0,0,0
1769439506.531618,540,138.621318,0.256706,0,0,0
1769439506.632781,545,137.021569,0.251416,0,0,0
1769439506.731883,516,128.278328,0.248601,0,0,0
1769439506.831289,547,132.048072,0.241404,0,0,0
1769439506.932807,516,132.482003,0.256748,0,0,0
1769439507.031418,557,134.798402,0.242008,0,0,0
1769439507.131545,556,137.740363,0.247734,0,0,0
1769439507.232089,535,135.759976,0.253757,0,0,0
1769439507.331456,522,128.638639,0.246434,0,0,0
1769439507.431454,550,137.360982,0.249747,0,0,0
1769439507.533340,528,133.856900,0.253517,0,0,0
1769439507.631423,552,143.244712,0.259501,0,0,0
1769439507.731822,545,133.268238,0.244529,0,0,0
1769439507.832658,552,140.261038,0.254096,0,0,0
1769439507.931875,530,131.795180,0.248670,0,0,0
1769439508.031801,555,142.355072,0.256496,0,0,0
1769439508.131536,536,133.645733,0.249339,0,0,0
1769439508.234148,531,142.287028,0.267961,0,0,0
1769439508.331765,536,141.988003,0.264903,0,0,0
1769439508.431844,550,144.508989,0.262744,0,0,0
1769439508.531415,535,144.680400,0.270431,0,0,0
1769439508.631553,555,148.720142,0.267964,0,0,0
1769439508.731325,554,146.267997,0.264022,0,0,0
1769439508.831905,549,146.887096,0.267554,0,0,0
1769439508.931595,565,148.980763,0.263683,0,0,0
1769439509.031982,536,147.757208,0.275666,0,0,0
1769439509.134235,573,148.674417,0.259467,0,0,0
1769439509.232093,544,146.548799,0.269391,0,0,0
1769439509.332155,562,146.424923,0.260543,0,0,0
1769439509.431312,557,147.377322,0.264591,0,0,0
1769439509.532778,569,149.899855,0.263444,0,0,0
1769439509.632079,520,138.306308,0.265974,0,0,0
1769439509.734613,561,136.954120,0.244125,0,0,0
1769439509.831293,552,144.692637,0.262124,0,0,0
1769439509.931260,586,145.821258,0.248842,0,0,0
1769439510.033949,550,146.709412,0.266744,0,0,0
1769439510.131785,574,144.117845,0.251076,0,0,0
1769439510.231282,555,151.606578,0.273165,0,0,0
1769439510.331390,559,146.085258,0.261333,0,0,0
1769439510.432437,554,149.515875,0.269884,0,0,0
1769439510.531968,554,151.290657,0.273088,0,0,0
1769439510.631804,540,152.709254,0.282795,0,0,0
1769439510.731386,514,130.027120,0.252971,0,0,0
1769439510.831828,557,148.579907,0.266750,0,0,0
1769439510.931370,545,143.899178,0.264035,0,0,0
1769439511.032180,557,147.204507,0.264281,0,0,0
1769439511.131626,560,153.718002,0.274496,0,0,0
1769439511.232792,573,151.375950,0.264181,0,0,0
1769439511.331871,559,156.624520,0.280187,0,0,0
