t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1769441056.953024,0,nan,nan,0,0,0
1769441057.051503,0,nan,nan,0,0,0
1769441057.152871,0,nan,nan,0,0,0
1769441057.251790,0,nan,nan,0,0,0
1769441057.351626,0,nan,nan,0,0,1
1769441057.451457,0,nan,nan,0,0,1
1769441057.551537,0,nan,nan,0,0,1
1769441057.651591,0,nan,nan,0,0,1
1769441057.752679,0,nan,nan,0,0,1
1769441057.851797,0,nan,nan,0,1,1
1769441057.951347,556,157.480104,0.283238,0,1,1
1769441058.052871,562,162.436816,0.289033,0,1,1
1769441058.151549,564,151.113978,0.267933,0,1,0
1769441058.252873,564,160.298858,0.284218,0,0,0
1769441058.351933,564,154.856200,0.274568,0,0,0
1769441058.451701,554,157.198547,0.283752,0,0,0
1769441058.551523,552,160.782520,0.291273,0,0,0
1769441058.652906,567,158.084227,0.278808,0,0,0
1769441058.751514,552,156.930984,0.284295,0,0,0
1769441058.851586,533,149.666151,0.280800,0,0,0
1769441058.951510,555,162.047943,0.291978,0,0,0
1769441059.051599,560,156.589258,0.279624,0,0,0
1769441059.154001,529,144.528967,0.273212,0,0,0
1769441059.251521,535,142.003244,0.265427,0,0,0
1769441059.351570,544,150.064677,0.275854,0,0,0
1769441059.451586,537,149.157643,0.277761,0,0,0
1769441059.553620,559,156.181500,0.279394,0,0,0
1769441059.652491,554,157.135411,0.283638,0,0,0
1769441059.752886,567,160.304342,0.282724,0,0,0
1769441059.851462,565,165.131682,0.292268,0,0,0
1769441059.952002,565,156.306685,0.276649,0,0,0
1769441060.051796,568,159.532722,0.280867,0,0,0
1769441060.151774,557,153.746938,0.276027,0,0,0
1769441060.251541,556,156.989036,0.282354,0,0,0
1769441060.351583,553,147.704523,0.267097,0,0,0
1769441060.452812,546,148.036001,0.271128,0,0,0
1769441060.552935,542,148.569852,0.274114,0,0,0
1769441060.651587,552,150.437056,0.272531,0,0,0
1769441060.751805,558,150.245526,0.269257,0,0,0
1769441060.851737,564,154.188246,0.273383,0,0,0
1769441060.951852,551,150.493616,0.273128,0,0,0
1769441061.052003,569,156.495956,0.275037,0,0,0
1769441061.151874,549,149.160148,0.271694,0,0,0
1769441061.254087,582,154.875875,0.266110,0,0,0
1769441061.351522,551,147.302786,0.267337,0,0,0
1769441061.451528,573,151.673609,0.264701,0,0,0
1769441061.551599,547,142.909018,0.261260,0,0,0
1769441061.651595,567,147.195332,0.259604,0,0,0
1769441061.751631,565,149.555515,0.264700,0,0,0
1769441061.851892,571,154.451419,0.270493,0,0,0
1769441061.952012,555,154.992933,0.279267,0,0,0
1769441062.051013,577,152.942254,0.265065,0,0,0
1769441062.152867,572,157.709814,0.275716,0,0,0
1769441062.251541,563,151.350244,0.268828,0,0,0
1769441062.351249,581,159.275373,0.274140,0,0,0
1769441062.451873,582,158.759013,0.272782,0,0,0
1769441062.552324,577,155.421744,0.269362,0,0,0
1769441062.652515,573,152.846255,0.266747,0,0,0
1769441062.751782,574,151.356826,0.263688,0,0,0
1769441062.851957,562,149.302601,0.265663,0,0,0
1769441062.952716,571,148.805259,0.260605,0,0,0
1769441063.051908,548,147.556975,0.269265,0,0,0
1769441063.152033,546,139.321041,0.255167,0,0,0
1769441063.251618,542,142.310842,0.262566,0,0,0
1769441063.352830,535,137.661443,0.257311,0,0,0
1769441063.451424,555,149.606553,0.269561,0,0,0
1769441063.551489,564,154.527674,0.273985,0,0,0
1769441063.651777,564,154.955918,0.274745,0,0,0
1769441063.753929,566,154.962728,0.273786,0,0,0
1769441063.851991,564,149.392790,0.264881,0,0,0
1769441063.951471,570,153.473991,0.269253,0,0,0
1769441064.052802,554,141.428064,0.255285,0,0,0
