t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1769441056.953024,0,nan,nan,0,0,0
1769441057.051503,0,nan,nan,0,0,0
1769441057.152871,0,nan,nan,0,0,0
1769441057.251790,0,nan,nan,0,0,0
1769441057.351626,0,nan,nan,0,0,1
1769441057.451457,0,nan,nan,0,0,1
1769441057.551537,0,nan,nan,0,0,1
1769441057.651591,0,nan,nan,0,0,1
1769441057.752679,0,nan,nan,0,0,1
1769441057.851797,0,nan,nan,0,1,1
1769441057.951347,2480,680.576590,0.274426,0,1,1
1769441058.052871,2505,699.953117,0.279422,0,1,1
1769441058.151549,2446,670.753748,0.274225,0,1,0
1769441058.252873,2443,664.854259,0.272147,0,0,0
1769441058.351933,2492,690.939477,0.277263,0,0,0
1769441058.451701,2462,696.905062,0.283065,0,0,0
1769441058.551523,2479,683.910111,0.275881,0,0,0
1769441058.652906,2523,688.196907,0.272769,0,0,0
1769441058.751514,2476,689.645383,0.278532,0,0,0
1769441058.851586,2403,644.253026,0.268104,0,0,0
1769441058.951510,2525,691.502952,0.273863,0,0,0
1769441059.051599,2468,672.646405,0.272547,0,0,0
1769441059.154001,2433,651.023315,0.267580,0,0,0
1769441059.251521,2386,624.889225,0.261898,0,0,0
1769441059.351570,2415,649.209255,0.268824,0,0,0
1769441059.451586,2393,660.886684,0.276175,0,0,0
1769441059.553620,2438,672.034222,0.275650,0,0,0
1769441059.652491,2477,673.249248,0.271800,0,0,0
1769441059.752886,2480,695.909365,0.280609,0,0,0
1769441059.851462,2517,705.400298,0.280254,0,0,0
1769441059.952002,2495,692.791063,0.277672,0,0,0
1769441060.051796,2521,679.074058,0.269367,0,0,0
1769441060.151774,2441,656.853104,0.269092,0,0,0
1769441060.251541,2454,646.249422,0.263345,0,0,0
1769441060.351583,2444,654.530392,0.267811,0,0,0
1769441060.452812,2394,626.903978,0.261865,0,0,0
1769441060.552935,2365,633.771336,0.267979,0,0,0
1769441060.651587,2422,640.960367,0.264641,0,0,0
1769441060.751805,2366,634.567670,0.268203,0,0,0
1769441060.851737,2438,648.880044,0.266153,0,0,0
1769441060.951852,2423,656.138288,0.270796,0,0,0
1769441061.052003,2413,663.938974,0.275151,0,0,0
1769441061.151874,2403,631.147947,0.262650,0,0,0
1769441061.254087,2412,654.496207,0.271350,0,0,0
1769441061.351522,2401,629.881603,0.262341,0,0,0
1769441061.451528,2401,650.469356,0.270916,0,0,0
1769441061.551599,2367,619.561648,0.261750,0,0,0
1769441061.651595,2418,653.204889,0.270143,0,0,0
1769441061.751631,2439,639.261150,0.262100,0,0,0
1769441061.851892,2437,653.942457,0.268339,0,0,0
1769441061.952012,2381,644.674067,0.270758,0,0,0
1769441062.051013,2483,682.180199,0.274740,0,0,0
1769441062.152867,2459,665.069775,0.270464,0,0,0
1769441062.251541,2477,680.958757,0.274913,0,0,0
1769441062.351249,2509,681.298699,0.271542,0,0,0
1769441062.451873,2585,692.094258,0.267735,0,0,0
1769441062.552324,2502,665.057033,0.265810,0,0,0
1769441062.652515,2554,678.076760,0.265496,0,0,0
1769441062.751782,2501,658.981352,0.263487,0,0,0
1769441062.851957,2481,657.564234,0.265040,0,0,0
1769441062.952716,2420,640.881463,0.264827,0,0,0
1769441063.051908,2403,614.520143,0.255730,0,0,0
1769441063.152033,2402,632.094430,0.263153,0,0,0
1769441063.251618,2385,630.880983,0.264520,0,0,0
1769441063.352830,2344,611.787230,0.261001,0,0,0
1769441063.451424,2471,673.174791,0.272430,0,0,0
1769441063.551489,2436,690.229397,0.283345,0,0,0
1769441063.651777,2444,679.033861,0.277837,0,0,0
1769441063.753929,2496,685.554246,0.274661,0,0,0
1769441063.851991,2515,695.066756,0.276368,0,0,0
