t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1769446678.875109,0,nan,nan,0,0,0
1769446678.976826,0,nan,nan,0,0,0
1769446679.075758,0,nan,nan,0,0,0
1769446679.176489,0,nan,nan,0,0,0
1769446679.274550,0,nan,nan,0,0,1
1769446679.375541,0,nan,nan,0,0,1
1769446679.476143,0,nan,nan,0,0,1
1769446679.576118,0,nan,nan,0,0,1
1769446679.675225,0,nan,nan,0,0,1
1769446679.776014,0,nan,nan,0,1,1
1769446679.875807,553,153.894098,0.278290,0,1,1
1769446679.975586,563,157.567777,0.279872,0,1,1
1769446680.075257,566,157.400942,0.278094,0,1,0
1769446680.176121,576,160.821939,0.279205,0,0,0
1769446680.276242,561,157.456775,0.280672,0,0,0
1769446680.376266,556,156.594268,0.281644,0,0,0
1769446680.476160,551,157.615978,0.286054,0,0,0
1769446680.576064,565,159.233055,0.281828,0,0,0
1769446680.676543,560,157.086745,0.280512,0,0,0
1769446680.775107,546,152.725400,0.279717,0,0,0
1769446680.876422,569,160.536112,0.282137,0,0,0
1769446680.975047,570,159.751751,0.280266,0,0,0
1769446681.075530,554,160.003325,0.288815,0,0,0
1769446681.176061,554,155.007585,0.279797,0,0,0
1769446681.276165,547,154.822109,0.283039,0,0,0
1769446681.375735,556,155.723548,0.280078,0,0,0
1769446681.475340,539,150.350877,0.278944,0,0,0
1769446681.577096,568,158.148504,0.278430,0,0,0
1769446681.675360,561,158.294206,0.282164,0,0,0
1769446681.775794,574,158.765172,0.276594,0,0,0
1769446681.876154,566,158.729715,0.280441,0,0,0
1769446681.974894,569,158.511363,0.278579,0,0,0
1769446682.076583,566,160.143189,0.282938,0,0,0
1769446682.176254,581,161.847087,0.278566,0,0,0
1769446682.276153,570,158.799563,0.278596,0,0,0
1769446682.377545,566,158.060061,0.279258,0,0,0
1769446682.475814,559,151.413359,0.270865,0,0,0
1769446682.575769,573,158.407302,0.276453,0,0,0
1769446682.675755,560,151.279048,0.270141,0,0,0
1769446682.775721,551,153.702038,0.278951,0,0,0
1769446682.875687,544,147.952046,0.271971,0,0,0
1769446682.974915,540,146.930495,0.272094,0,0,0
1769446683.076165,566,155.166552,0.274146,0,0,0
1769446683.174996,552,149.716038,0.271225,0,0,0
1769446683.276257,578,156.909721,0.271470,0,0,0
1769446683.376989,562,156.443888,0.278370,0,0,0
1769446683.476113,567,152.441593,0.268856,0,0,0
1769446683.576056,554,153.232751,0.276593,0,0,0
1769446683.675780,566,154.063308,0.272197,0,0,0
1769446683.776029,568,157.529214,0.277340,0,0,0
1769446683.876030,564,155.344712,0.275434,0,0,0
1769446683.975873,563,154.128359,0.273763,0,0,0
