t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1769446678.275902,0,nan,nan,0,0,0
1769446678.376098,0,nan,nan,0,0,0
1769446678.476228,0,nan,nan,0,0,0
1769446678.576251,0,nan,nan,0,0,0
1769446678.674561,0,nan,nan,0,0,1
1769446678.776263,0,nan,nan,0,0,1
1769446678.875109,0,nan,nan,0,0,1
1769446678.976826,0,nan,nan,0,0,1
1769446679.075758,0,nan,nan,0,0,1
1769446679.176489,0,nan,nan,0,1,1
1769446679.274550,2596,711.003416,0.273884,0,1,1
1769446679.375541,2594,715.754729,0.275927,0,1,1
1769446679.476143,2585,712.847304,0.275763,0,1,0
1769446679.576118,2571,710.320352,0.276282,0,0,0
1769446679.675225,2542,690.207562,0.271521,0,0,0
1769446679.776014,2582,700.061645,0.271132,0,0,0
1769446679.875807,2459,658.839231,0.267930,0,0,0
1769446679.975586,2508,653.802767,0.260687,0,0,0
1769446680.075257,2489,655.773683,0.263469,0,0,0
1769446680.176121,2495,648.482413,0.259913,0,0,0
1769446680.276242,2452,646.435582,0.263636,0,0,0
1769446680.376266,2448,617.038481,0.252058,0,0,0
1769446680.476160,2418,633.318499,0.261918,0,0,0
1769446680.576064,2458,627.983075,0.255485,0,0,0
1769446680.676543,2436,653.243695,0.268162,0,0,0
1769446680.775107,2374,616.715767,0.259779,0,0,0
1769446680.876422,2523,668.415956,0.264929,0,0,0
1769446680.975047,2491,648.517513,0.260344,0,0,0
1769446681.075530,2466,650.695386,0.263867,0,0,0
1769446681.176061,2435,621.165250,0.255099,0,0,0
1769446681.276165,2420,623.048661,0.257458,0,0,0
1769446681.375735,2378,606.569907,0.255076,0,0,0
1769446681.475340,2445,647.978103,0.265022,0,0,0
1769446681.577096,2503,651.901445,0.260448,0,0,0
1769446681.675360,2508,682.286672,0.272044,0,0,0
1769446681.775794,2533,673.020962,0.265701,0,0,0
1769446681.876154,2538,702.071128,0.276624,0,0,0
1769446681.974894,2536,691.679252,0.272744,0,0,0
1769446682.076583,2518,693.978486,0.275607,0,0,0
1769446682.176254,2597,698.108317,0.268813,0,0,0
1769446682.276153,2569,684.741977,0.266540,0,0,0
1769446682.377545,2553,677.881034,0.265523,0,0,0
1769446682.475814,2459,660.557788,0.268629,0,0,0
1769446682.575769,2525,672.735322,0.266430,0,0,0
1769446682.675755,2435,636.730748,0.261491,0,0,0
1769446682.775721,2403,650.208739,0.270582,0,0,0
1769446682.875687,2402,618.855861,0.257642,0,0,0
1769446682.974915,2443,625.103209,0.255875,0,0,0
1769446683.076165,2417,622.917563,0.257723,0,0,0
1769446683.174996,2524,674.814396,0.267359,0,0,0
1769446683.276257,2564,663.265831,0.258684,0,0,0
1769446683.376989,2461,674.530269,0.274088,0,0,0
1769446683.476113,2513,646.317914,0.257190,0,0,0
1769446683.576056,2453,657.130633,0.267889,0,0,0
1769446683.675780,2447,636.296067,0.260031,0,0,0
1769446683.776029,2469,660.566855,0.267544,0,0,0
1769446683.876030,2458,629.912219,0.256270,0,0,0
1769446683.975873,2459,658.095790,0.267627,0,0,0
1769446684.075744,2475,641.041357,0.259007,0,0,0
1769446684.176071,2509,683.386847,0.272374,0,0,0
1769446684.276288,2544,683.666973,0.268737,0,0,0
1769446684.376082,2471,671.507367,0.271755,0,0,0
1769446684.477863,2544,677.920173,0.266478,0,0,0
1769446684.575818,2506,686.988562,0.274137,0,0,0
1769446684.675063,2471,668.403339,0.270499,0,0,0
1769446684.775715,2429,650.683189,0.267881,0,0,0
1769446684.878451,2306,606.354336,0.262946,0,0,0
1769446684.975398,2236,574.707977,0.257025,0,0,0
1769446685.075278,2103,556.046287,0.264406,0,0,0
1769446685.175857,1999,498.825639,0.249538,0,0,0
1769446685.276055,2009,509.627237,0.253672,0,0,0
1769446685.376079,1988,476.530478,0.239703,0,0,0
1769446685.475061,1976,498.504047,0.252279,0,0,0
1769446685.575943,1983,487.782443,0.245982,0,0,0
1769446685.675043,1967,509.834419,0.259194,0,0,0
1769446685.776176,1955,495.226205,0.253313,0,0,0
1769446685.875432,2033,522.377135,0.256949,0,0,0
1769446685.975270,2001,513.496757,0.256620,0,0,0
1769446686.075750,1992,505.774972,0.253903,0,0,0
1769446686.176100,1955,486.628636,0.248915,0,0,0
1769446686.276024,1981,474.861395,0.239708,0,0,0
1769446686.376052,1967,473.949339,0.240950,0,0,0
1769446686.476101,1908,459.727796,0.240947,0,0,0
1769446686.577192,1983,469.680707,0.236854,0,0,0
1769446686.674817,1929,494.981399,0.256600,0,0,0
1769446686.776207,1989,477.222338,0.239931,0,0,0
1769446686.876020,1963,512.139526,0.260896,0,0,0
1769446686.976199,1965,506.455726,0.257738,0,0,0
1769446687.075445,1957,505.513036,0.258310,0,0,0
1769446687.175849,2055,513.460750,0.249859,0,0,0
1769446687.276176,1989,506.865225,0.254834,0,0,0
1769446687.376216,2018,500.130387,0.247835,0,0,0
1769446687.475952,1894,456.741179,0.241152,0,0,0
1769446687.574808,1974,492.855088,0.249673,0,0,0
1769446687.676063,1877,442.677343,0.235843,0,0,0
1769446687.776039,1878,472.239917,0.251459,0,0,0
1769446687.876333,1844,425.890647,0.230960,0,0,0
1769446687.976100,1784,422.061954,0.236582,0,0,0
1769446688.076011,1969,464.613436,0.235964,0,0,0
1769446688.176047,1987,495.777249,0.249510,0,0,0
1769446688.276069,2094,538.526068,0.257176,0,0,0
1769446688.377395,2028,535.777894,0.264190,0,0,0
1769446688.475081,2163,557.400017,0.257698,0,0,0
1769446688.576046,2089,554.892635,0.265626,0,0,0
1769446688.676022,2174,547.397401,0.251793,0,0,0
1769446688.775983,2179,572.836804,0.262890,0,0,0
1769446688.875312,2273,571.652017,0.251497,0,0,0
1769446688.976274,2286,599.497687,0.262247,0,0,0
1769446689.075767,2316,591.450169,0.255376,0,0,0
1769446689.176141,2381,637.621530,0.267796,0,0,0
1769446689.276130,2402,633.495258,0.263737,0,0,0
1769446689.373148,2459,661.066950,0.268836,0,0,0
1769446689.475017,2492,671.667786,0.269530,0,0,0
1769446689.576071,2523,682.451841,0.270492,0,0,0
1769446689.676109,2476,656.593534,0.265183,0,0,0
1769446689.776001,2546,670.972743,0.263540,0,0,0
1769446689.875286,2533,673.952289,0.266069,0,0,0
1769446689.975098,2535,652.419907,0.257365,0,0,0
1769446690.076107,2425,639.967553,0.263904,0,0,0
1769446690.176038,2479,632.814500,0.255270,0,0,0
1769446690.276088,2440,626.671941,0.256833,0,0,0
1769446690.376023,2441,617.279795,0.252880,0,0,0
1769446690.476096,2347,619.849244,0.264103,0,0,0
1769446690.574020,2467,622.506524,0.252333,0,0,0
1769446690.675735,2444,651.303393,0.266491,0,0,0
1769446690.776225,2370,615.933898,0.259888,0,0,0
1769446690.875223,2452,636.647115,0.259644,0,0,0
1769446690.977007,2511,657.018144,0.261656,0,0,0
1769446691.076052,2440,642.479534,0.263311,0,0,0
1769446691.175651,2423,611.111375,0.252213,0,0,0
1769446691.275963,2445,617.970757,0.252749,0,0,0
1769446691.374823,2414,611.027369,0.253118,0,0,0
1769446691.476181,2414,632.444169,0.261990,0,0,0
1769446691.575832,2476,627.978326,0.253626,0,0,0
1769446691.675962,2485,652.022447,0.262383,0,0,0
1769446691.776006,2501,644.766202,0.257803,0,0,0
1769446691.875753,2492,676.603418,0.271510,0,0,0
1769446691.975996,2514,662.561549,0.263549,0,0,0
1769446692.076985,2507,681.905480,0.272001,0,0,0
1769446692.176289,2548,676.969777,0.265687,0,0,0
1769446692.275959,2541,675.076291,0.265673,0,0,0
1769446692.374958,2574,674.582505,0.262076,0,0,0
1769446692.473928,2503,663.589413,0.265118,0,0,0
1769446692.576496,2513,656.842966,0.261378,0,0,0
1769446692.675603,2446,626.947626,0.256315,0,0,0
1769446692.776417,2386,629.781004,0.263948,0,0,0
1769446692.875750,2378,589.777668,0.248014,0,0,0
1769446692.976098,2330,590.467812,0.253420,0,0,0
1769446693.073986,2459,642.162255,0.261148,0,0,0
1769446693.176208,2429,636.897947,0.262206,0,0,0
1769446693.275291,2560,684.684424,0.267455,0,0,0
1769446693.375757,2425,662.608350,0.273241,0,0,0
1769446693.476377,2599,693.840085,0.266964,0,0,0
1769446693.575701,2489,682.703614,0.274288,0,0,0
1769446693.676048,2526,666.986080,0.264048,0,0,0
1769446693.775689,2488,669.960350,0.269277,0,0,0
1769446693.876113,2495,645.641052,0.258774,0,0,0
1769446693.977049,2509,666.997071,0.265842,0,0,0
1769446694.076125,2533,673.141801,0.265749,0,0,0
1769446694.175636,2501,697.070983,0.278717,0,0,0
1769446694.275688,2625,718.062546,0.273548,0,0,0
1769446694.376072,2621,737.640721,0.281435,0,0,0
1769446694.475705,2656,739.825805,0.278549,0,0,0
1769446694.576027,2544,718.235139,0.282325,0,0,0
1769446694.676076,2629,753.173555,0.286487,0,0,0
1769446694.775041,2654,759.872143,0.286312,0,0,0
1769446694.874965,2624,732.772402,0.279258,0,0,0
1769446694.975389,2676,745.478063,0.278579,0,0,0
1769446695.076084,2541,696.028263,0.273919,0,0,0
1769446695.175236,2584,690.887171,0.267371,0,0,0
1769446695.275028,2448,686.715522,0.280521,0,0,0
1769446695.376318,2521,657.225922,0.260700,0,0,0
1769446695.475357,2526,685.577847,0.271408,0,0,0
1769446695.576061,2498,657.127419,0.263061,0,0,0
1769446695.678110,2410,646.599836,0.268299,0,0,0
1769446695.775435,2428,614.029791,0.252895,0,0,0
1769446695.875424,2620,700.330266,0.267302,0,0,0
1769446695.976042,2459,688.993463,0.280193,0,0,0
1769446696.076156,2261,577.966218,0.255624,0,0,0
1769446696.175972,2489,657.714411,0.264248,0,0,0
1769446696.276036,2542,668.825428,0.263110,0,0,0
1769446696.377200,2435,630.855416,0.259078,0,0,0
1769446696.475119,2403,650.476603,0.270694,0,0,0
1769446696.575973,2518,703.262973,0.279294,0,0,0
1769446696.675647,2478,699.683575,0.282358,0,0,0
1769446696.776080,2245,606.469878,0.270142,0,0,0
1769446696.875614,2696,776.684199,0.288088,0,0,0
1769446696.975670,2633,730.450535,0.277421,0,0,0
1769446697.074899,2323,646.527014,0.278316,0,0,0
1769446697.175200,2610,757.068806,0.290065,0,0,0
1769446697.275944,2709,783.272662,0.289137,0,0,0
1769446697.375901,2612,738.726274,0.282820,0,0,0
1769446697.475619,2552,748.610598,0.293343,0,0,0
1769446697.576098,2513,738.079401,0.293704,0,0,0
1769446697.676014,2454,714.314962,0.291082,0,0,0
1769446697.776815,2251,658.144633,0.292379,0,0,0
1769446697.876048,2501,735.211027,0.293967,0,0,0
1769446697.975497,2427,720.468755,0.296856,0,0,0
1769446698.076038,2360,709.697125,0.300719,0,0,0
1769446698.175509,2289,667.475178,0.291601,0,0,0
1769446698.276810,2116,610.151672,0.288351,0,0,0
1769446698.373915,2384,699.051208,0.293226,0,0,0
1769446698.475972,2258,649.103286,0.287468,0,0,0
1769446698.575208,2391,687.377225,0.287485,0,0,0
1769446698.675561,2308,666.375418,0.288724,0,0,0
1769446698.776029,2319,665.868111,0.287136,0,0,0
1769446698.875648,2315,661.017313,0.285537,0,0,0
1769446698.975741,2390,691.990636,0.289536,0,0,0
1769446699.076204,2385,672.675818,0.282044,0,0,0
1769446699.174906,2252,648.763574,0.288083,0,0,0
1769446699.276011,2477,699.736029,0.282493,0,0,0
1769446699.375574,2496,713.249306,0.285757,0,0,0
1769446699.475057,2487,701.167623,0.281933,0,0,0
1769446699.575454,2523,726.794497,0.288068,0,0,0
1769446699.674939,2420,693.829853,0.286707,0,0,0
1769446699.775300,2502,719.109718,0.287414,0,0,0
1769446699.875668,2495,716.964544,0.287361,0,0,0
1769446699.974901,2477,719.526709,0.290483,0,0,0
1769446700.076051,2385,702.683405,0.294626,0,0,0
1769446700.175588,2387,706.711089,0.296067,0,0,0
1769446700.276700,2323,692.149898,0.297955,0,0,0
1769446700.375393,2381,686.601611,0.288367,0,0,0
1769446700.475925,2387,686.396658,0.287556,0,0,0
1769446700.575862,2339,675.983635,0.289005,0,0,0
1769446700.675518,2252,642.897157,0.285478,0,0,0
1769446700.774332,2426,700.034257,0.288555,0,0,0
1769446700.875656,2386,694.777306,0.291189,0,0,0
1769446700.975349,2416,697.262750,0.288602,0,0,0
1769446701.075520,2423,695.595708,0.287080,0,0,0
1769446701.175881,2343,674.972905,0.288081,0,0,0
1769446701.276019,2345,669.399824,0.285458,0,0,0
1769446701.376038,2295,657.746032,0.286600,0,0,0
1769446701.475967,2307,654.986710,0.283913,0,0,0
1769446701.574984,2283,659.211187,0.288748,0,0,0
1769446701.676404,2342,678.606190,0.289755,0,0,0
1769446701.776034,2295,641.843732,0.279670,0,0,0
1769446701.877325,2432,692.492004,0.284742,0,0,0
1769446701.975889,2333,655.479987,0.280960,0,0,0
1769446702.073121,2381,679.369224,0.285329,0,0,0
1769446702.175915,2409,684.586161,0.284179,0,0,0
1769446702.275849,2354,669.645503,0.284471,0,0,0
1769446702.375842,2323,664.840281,0.286199,0,0,0
1769446702.475924,2197,640.652670,0.291603,0,0,0
1769446702.578130,2314,659.725537,0.285102,0,0,0
1769446702.676060,2237,660.250339,0.295150,0,0,0
1769446702.776028,2188,623.711591,0.285060,0,0,0
1769446702.875577,2210,635.032561,0.287345,0,0,0
1769446702.975953,2087,591.061030,0.283211,0,0,0
1769446703.074966,2271,651.977468,0.287088,0,0,0
1769446703.175843,2144,601.154862,0.280389,0,0,0
1769446703.275959,2166,623.553728,0.287883,0,0,0
1769446703.375813,2161,616.503014,0.285286,0,0,0
1769446703.475946,2096,604.418974,0.288368,0,0,0
1769446703.575954,2136,612.636025,0.286815,0,0,0
1769446703.676000,2137,622.948445,0.291506,0,0,0
1769446703.775525,2040,597.094312,0.292693,0,0,0
1769446703.876024,2082,609.055248,0.292534,0,0,0
1769446703.975939,2071,622.562373,0.300610,0,0,0
1769446704.076000,1954,576.954230,0.295268,0,0,0
1769446704.174890,2082,633.323644,0.304190,0,0,0
1769446704.275956,2136,636.156145,0.297826,0,0,0
1769446704.375841,2151,650.248926,0.302301,0,0,0
1769446704.475545,2146,635.686774,0.296219,0,0,0
1769446704.574880,2159,644.713754,0.298617,0,0,0
1769446704.674999,2046,604.169469,0.295293,0,0,0
1769446704.775213,2153,640.750374,0.297608,0,0,0
1769446704.875191,1715,471.799192,0.275102,0,0,0
1769446704.975869,1981,551.218164,0.278252,0,0,0
1769446705.075194,2074,609.956578,0.294097,0,0,0
1769446705.173496,2038,604.739131,0.296732,0,0,0
1769446705.275521,2028,605.796636,0.298716,0,0,0
1769446705.374970,1968,574.139003,0.291737,0,0,0
1769446705.475696,1903,579.056901,0.304286,0,0,0
1769446705.574802,1982,574.871946,0.290046,0,0,0
1769446705.676323,1928,600.065528,0.311237,0,0,0
1769446705.776701,1973,591.129198,0.299609,0,0,0
1769446705.877541,1972,613.964490,0.311341,0,0,0
1769446705.976092,1832,558.735165,0.304986,0,0,0
1769446706.076600,1982,598.203267,0.301818,0,0,0
1769446706.175819,1930,580.166958,0.300605,0,0,0
1769446706.275805,1795,553.042592,0.308102,0,0,0
1769446706.374892,1858,579.628035,0.311963,0,0,0
1769446706.476194,1851,557.421403,0.301146,0,0,0
1769446706.575969,1748,544.399939,0.311442,0,0,0
1769446706.677095,1848,565.924242,0.306236,0,0,0
1769446706.775498,1811,560.993922,0.309770,0,0,0
1769446706.874081,1868,568.686334,0.304436,0,0,0
