t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1769448082.084463,0,nan,nan,0,0,0
1769448082.183422,0,nan,nan,0,0,0
1769448082.283458,0,nan,nan,0,0,0
1769448082.383778,0,nan,nan,0,0,0
1769448082.483411,0,nan,nan,0,0,1
1769448082.583696,0,nan,nan,0,0,1
1769448082.682602,0,nan,nan,0,0,1
1769448082.784814,0,nan,nan,0,0,1
1769448082.886139,0,nan,nan,0,0,1
1769448082.979322,0,nan,nan,0,1,1
1769448083.083749,2485,687.904725,0.276823,0,1,1
1769448083.183249,2537,705.156554,0.277949,0,1,1
1769448083.283551,2518,706.318177,0.280508,0,1,0
1769448083.383607,2541,704.758561,0.277355,0,0,0
1769448083.483570,2496,688.938780,0.276017,0,0,0
1769448083.579692,2521,693.402307,0.275050,0,0,0
1769448083.683046,2423,649.843962,0.268198,0,0,0
1769448083.782888,2318,629.252318,0.271463,0,0,0
1769448083.883574,2235,594.252278,0.265885,0,0,0
1769448083.983655,2146,584.205739,0.272230,0,0,0
1769448084.083656,2120,582.675147,0.274847,0,0,0
1769448084.186017,2110,588.466507,0.278894,0,0,0
1769448084.283556,2125,575.031717,0.270603,0,0,0
1769448084.383562,2065,564.073930,0.273159,0,0,0
1769448084.479536,2151,584.444113,0.271708,0,0,0
1769448084.583442,2101,585.678403,0.278762,0,0,0
1769448084.683514,2098,576.392900,0.274734,0,0,0
1769448084.883408,2046,534.773352,0.261375,0,0,0
1769448084.984941,2001,548.336660,0.274031,0,0,0
1769448085.083698,2030,532.931929,0.262528,0,0,0
1769448085.183531,2026,561.889713,0.277339,0,0,0
1769448085.283704,2035,538.639207,0.264688,0,0,0
1769448085.383446,2001,548.959022,0.274342,0,0,0
1769448085.483000,2100,567.465717,0.270222,0,0,0
1769448085.583447,2067,568.673469,0.275120,0,0,0
1769448085.683607,2119,582.288121,0.274794,0,0,0
1769448085.783566,2098,607.165673,0.289402,0,0,0
1769448085.883576,2142,601.315352,0.280726,0,0,0
1769448085.986553,2142,605.137029,0.282510,0,0,0
1769448086.083730,2070,587.116963,0.283631,0,0,0
1769448086.184667,2029,562.856122,0.277406,0,0,0
1769448086.283230,2079,539.787893,0.259638,0,0,0
1769448086.383420,2068,566.489166,0.273931,0,0,0
1769448086.483524,2061,537.748610,0.260916,0,0,0
1769448086.583989,2027,535.234822,0.264053,0,0,0
1769448086.684944,1981,543.002910,0.274105,0,0,0
1769448086.789396,2199,587.482528,0.267159,0,0,0
1769448086.883968,2286,614.261258,0.268706,0,0,0
1769448086.984593,2319,626.135415,0.270002,0,0,0
1769448087.083489,2366,642.866373,0.271710,0,0,0
1769448087.183394,2415,649.646062,0.269005,0,0,0
1769448087.283460,2414,656.037780,0.271764,0,0,0
1769448087.383698,2389,620.792333,0.259854,0,0,0
1769448087.482998,2446,648.948853,0.265310,0,0,0
1769448087.583477,2403,628.274254,0.261454,0,0,0
1769448087.684432,2431,639.063059,0.262881,0,0,0
1769448087.784141,2484,646.992913,0.260464,0,0,0
1769448087.883519,2462,663.885546,0.269653,0,0,0
1769448087.983631,2487,658.336940,0.264711,0,0,0
1769448088.083598,2500,672.881813,0.269153,0,0,0
1769448088.183494,2559,691.073018,0.270056,0,0,0
1769448088.283555,2536,704.366519,0.277747,0,0,0
1769448088.383735,2582,700.837756,0.271432,0,0,0
1769448088.483617,2559,708.426443,0.276837,0,0,0
1769448088.583725,2632,708.398711,0.269148,0,0,0
1769448088.683522,2571,690.108979,0.268420,0,0,0
1769448088.785551,2522,680.300294,0.269746,0,0,0
1769448088.884071,2564,684.747647,0.267062,0,0,0
1769448088.983489,2481,661.797792,0.266746,0,0,0
1769448089.083369,2452,652.135098,0.265960,0,0,0
1769448089.183555,2411,626.191783,0.259723,0,0,0
1769448089.284717,2495,681.203628,0.273028,0,0,0
1769448089.383514,2472,662.135937,0.267854,0,0,0
1769448089.483451,2465,652.440825,0.264682,0,0,0
1769448089.583485,2501,677.269507,0.270799,0,0,0
1769448089.683488,2515,669.952641,0.266383,0,0,0
1769448089.783373,2478,661.272551,0.266857,0,0,0
1769448089.883367,2493,632.193680,0.253588,0,0,0
1769448089.983478,2455,656.152778,0.267272,0,0,0
1769448090.085968,2469,629.311075,0.254885,0,0,0
1769448090.183508,2457,657.488747,0.267598,0,0,0
1769448090.283507,2494,647.328448,0.259554,0,0,0
1769448090.383515,2413,664.163906,0.275244,0,0,0
1769448090.483781,2538,673.560478,0.265390,0,0,0
1769448090.584401,2540,690.251424,0.271753,0,0,0
1769448090.686005,2561,687.283330,0.268365,0,0,0
1769448090.783347,2526,694.082401,0.274775,0,0,0
1769448090.884958,2592,711.231180,0.274395,0,0,0
1769448090.983370,2569,694.595411,0.270376,0,0,0
1769448091.084196,2530,692.614583,0.273761,0,0,0
1769448091.183524,2489,675.944646,0.271573,0,0,0
1769448091.283467,2452,639.216290,0.260692,0,0,0
1769448091.383406,2444,633.619356,0.259255,0,0,0
1769448091.483531,2413,629.828917,0.261015,0,0,0
1769448091.583085,2503,663.428697,0.265053,0,0,0
1769448091.686614,2475,660.462689,0.266854,0,0,0
1769448091.783381,2495,659.558521,0.264352,0,0,0
1769448091.883473,2489,684.512671,0.275015,0,0,0
1769448091.983458,2511,672.768004,0.267928,0,0,0
1769448092.084323,2512,678.235784,0.269998,0,0,0
