t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1769427242.934205,0,nan,nan,0,0,0
1769427243.033609,0,nan,nan,0,0,0
1769427243.134426,0,nan,nan,0,0,0
1769427243.234465,0,nan,nan,0,0,0
1769427243.333424,0,nan,nan,0,0,1
1769427243.434651,0,nan,nan,0,0,1
1769427243.534400,0,nan,nan,0,0,1
1769427243.633080,0,nan,nan,0,0,1
1769427243.733163,0,nan,nan,0,0,1
1769427243.833189,0,nan,nan,0,1,1
1769427243.934419,2421,641.306949,0.264893,0,1,1
1769427244.032690,2473,662.426763,0.267864,0,1,1
1769427244.134403,2471,655.884223,0.265433,0,1,0
1769427244.232969,2488,683.595783,0.274757,0,0,0
1769427244.335032,2473,683.499448,0.276385,0,0,0
1769427244.432989,2487,694.554642,0.279274,0,0,0
1769427244.533589,2489,690.229815,0.277312,0,0,0
1769427244.634317,2465,702.461378,0.284974,0,0,0
1769427244.735131,2451,674.246214,0.275090,0,0,0
1769427244.833447,2479,689.314794,0.278062,0,0,0
1769427244.935094,2513,681.056382,0.271013,0,0,0
1769427245.034694,2487,685.814496,0.275760,0,0,0
1769427245.134480,2522,690.827189,0.273920,0,0,0
1769427245.234494,2451,657.571986,0.268287,0,0,0
1769427245.335158,2415,653.725441,0.270694,0,0,0
1769427245.433568,2456,677.010394,0.275656,0,0,0
1769427245.534464,2486,689.280362,0.277265,0,0,0
1769427245.635103,2485,696.574841,0.280312,0,0,0
1769427245.734425,2489,690.639834,0.277477,0,0,0
1769427245.834284,2483,697.934000,0.281085,0,0,0
1769427246.034399,2482,680.346794,0.274112,0,0,0
1769427246.134596,2464,672.158983,0.272792,0,0,0
1769427246.234451,2453,664.104732,0.270732,0,0,0
1769427246.334421,2412,656.803624,0.272307,0,0,0
1769427246.434436,2454,672.769356,0.274152,0,0,0
1769427246.532999,2380,641.798934,0.269663,0,0,0
1769427246.635042,2492,669.849758,0.268800,0,0,0
1769427246.735540,2503,684.207286,0.273355,0,0,0
1769427246.834311,2492,686.029389,0.275293,0,0,0
1769427246.934802,2507,685.279489,0.273346,0,0,0
1769427247.034593,2462,686.702586,0.278921,0,0,0
1769427247.134374,2423,659.535560,0.272198,0,0,0
1769427247.234285,2465,668.433378,0.271170,0,0,0
1769427247.333575,2466,677.488690,0.274732,0,0,0
1769427247.434391,2472,651.759642,0.263657,0,0,0
1769427247.534400,2488,676.160865,0.271769,0,0,0
1769427247.634408,2467,677.384409,0.274578,0,0,0
1769427247.734347,2498,684.188645,0.273895,0,0,0
1769427247.834348,2469,684.702622,0.277320,0,0,0
1769427247.934280,2497,696.353964,0.278876,0,0,0
1769427248.033513,2457,697.038554,0.283695,0,0,0
1769427248.130626,2548,712.656764,0.279693,0,0,0
1769427248.234922,2520,712.935558,0.282911,0,0,0
1769427248.334320,2496,695.297060,0.278565,0,0,0
1769427248.434852,2530,698.661538,0.276151,0,0,0
1769427248.534509,2493,677.001779,0.271561,0,0,0
1769427248.634448,2514,687.001838,0.273270,0,0,0
1769427248.733217,2436,651.877541,0.267602,0,0,0
1769427248.833343,2444,661.117525,0.270506,0,0,0
1769427248.934102,2472,661.015310,0.267401,0,0,0
1769427249.033552,2470,671.221056,0.271749,0,0,0
1769427249.135922,2481,667.391473,0.269001,0,0,0
1769427249.234380,2506,688.173626,0.274610,0,0,0
1769427249.334334,2473,677.551118,0.273979,0,0,0
1769427249.434352,2527,704.720727,0.278876,0,0,0
1769427249.534938,2469,669.187906,0.271036,0,0,0
1769427249.634321,2487,706.475898,0.284068,0,0,0
1769427249.734303,2489,684.620999,0.275059,0,0,0
1769427249.834405,2510,710.129053,0.282920,0,0,0
1769427249.934378,2517,689.980388,0.274128,0,0,0
